Datum,Titel,Kommentar,Personen,Literatur,Literatur ID
[J] 1620 Frühjahr,Vermuteter Baubeginn des Weinkellers unter dem Börsenplatz in Bremen,"Focke geht davon aus, dass der Bau des Weinkellers im Frühjahr 1620 begonnen wurde, nur so kann er sich den Abschluss der Arbeiten im Juni 1621 erklären.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 134,ID #128
[J] 1621-06-XX,"Ratsbeschluss, den fertigen Weinkeller unter dem Börsenplatz in Bremen mit Astrack zu belegen","„... denn im Juni 1621 ist er schon vollendet, weil man im Rate ‚sich füreiniget, das die alten Schoboden sollen mit Astrick das gewelb übergesetzet und also fürerst, bis man sihet, wo man es hernach darmith machet, ein freier Platz bleiben.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 134,ID #128
[J] 1621-07-XX,Bezahlung der Steinhauer Hinrich Bartels und Ernst Krossmann für Astrack zur Deckung des Weinkellers unter dem Börsenplatz in Bremen,"„... im Juli und Oktober 1621 haben die Steinhauer Hinrich Bartels, der Erbauer des Hohenthors, und Ernst Krossmann, der Steinmetz des Gewerbehauses, Zahlungen für ca. 820 Ellen Astrak ‚to den Schoboden‘ erhalten.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Steinhauer Hinrich Bartels (ID #445); Steinmetz Ernst Krossmann (ID #584),S. 134,ID #128
[J] 1621-10-XX,Erneute Bezahlung der Steinhauer Hinrich Bartels und Ernst Krossmann für Astrack zur Deckung des Weinkellers unter dem Börsenplatz in Bremen,"„... im Juli und Oktober 1621 haben die Steinhauer Hinrich Bartels, der Erbauer des Hohenthors, und Ernst Krossmann, der Steinmetz des Gewerbehauses, Zahlungen für ca. 820 Ellen Astrak ‚to den Schoboden‘ erhalten.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Steinhauer Hinrich Bartels (ID #445), Steinmetz Ernst Krossmann (ID #584)",S. 134,ID #128
[J] 1644-10-07,Stellungnahme der Bremer Kaufleute zum Börsenbau ,"Beschwerde über fehlende, wettergeschützte Börse durch die Bremer Kaufleute. Es erfolgt der Hinweis, dass der Platz zwischen Kirche und Rathaus dazu bestens geeignet sei. Die Kaufleute schlagen die Bildung einer Deputation aus Kaufleuten und Ratsherren vor. Unterzeichnet von 30-40 Kaufleuten.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Bremer Kaufmannschaft,S. 135;Sp.2,ID #128;ID #11817
[J] 1645,Ausbesserung der Kellerbedeckung auf dem Bremer Börsenplatz,"„Der Astrak lag über dem Keller fünfundzwanzig Jahre, dann durchdrang Feuchtigkeit das Gewölbe und bedrohte dessen Sicherheit. Im Jahre 1645 half man sich damit, den erhöhten Platz mit kleinen Klinkern und Fliesen zu belegen, die wiederum einige Jahrzehnte notdürftig genügten.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 134,ID #128
[J] 1645,Abnahme der alten Kellerbedeckung auf dem Bremer Börsenplatz,"„[…] und mit Grauwerksteinen oder Astrack gepflastert, welche in anno 1645, wie supra folio 83 gedacht, weggenommen und mit kleinen Klinkersteinen wiederum und zwar zierlich, doch nicht ersprießlich, belegt worden […].“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 384,ID #11815
[J] 1653-1655,"Erneuerung der Pläne des Bremer Rats, ein Gebäude auf dem Börsenplatz zu errichten","„Als 1653/55 der Rat mal Anstalten machte, ‚die Börse über dem neuen Weinkeller mit einem gebäuw zu überdecken‘, und mit zwei Hausbesitzern ‚auf der Börse‘ über deren Kündigung verhandelte, wollte nur der eine sich abfinden, der andere lehnte alles ab.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen  (ID #753),S. 135,ID #128
[J] 1663-06-07,Eingabe der Kaufleute Werner Koen und Co. an den Bremer Rat bezüglich der täglichen Versammlungen auf dem Marktplatz,"Werner Koen und 21 weitere Kaufleute richten eine Eingabe an den Bremer Rat, in dem sie eine Ordnung für die täglichen Versammlungen der Kaufleute festsetzen wollen.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Kaufmann Werner Koen, Bremer Rat (ID #753)",S. 140,ID #128
[J] 1672-05-25,Gutachten des Maurermeisters Johann Knust über den Zustand des Börsenplatzes in Bremen,"Maurermeister Knust berichtet über den Zustand des Weinkeller-Gewölbes, das sich über das Straßenniveau erhob und bereits einige Male repariert worden war. „Danach ragte die ‚Börsenmauer‘ tatsächlich über das Straßenniveau hinaus; sie war 155 Fuß (etwa 44,84 m) lang, war ‚an allen Orten verweichet, zerfroren und abgeborsten‘ und hin, ‚als so weit sich das Grauwerk anfängt nach der Gasse [wohl zur Obernstraße] 4 Zoll [etwa 9 cm] über‘. Die Wangen der Fenster waren alle [...] zerborsten‘. Dadurch waren die ‚Schortausen‘ oder ‚Kracksteine‘ (Kragsteine), auf denen das Gewölbe des Kellers ruhte, gefährdet; wenn sie herausfielen, mußte das Gewölbe zusammenstürzen. Eins der Häuser auf dem Börsenkeller, ‚Fädelers Haus‘, das vor etwa 25 Jahren gebaut wurde, war geborsten und hing an beiden Seiten über. Die Mittelwange der Börsenmauser zwischen der Ecke und der Bude des Buchdruckers Arend Wessels, die auf dem Börsenkeller stand, war nach der Obernstraße ausgewichen. Als Abhilfe wurde folgendes empfohlen: Die Gewölbe mußten abgestützt werden, wobei die mauern an der Obernstraße bis zum Grauwerk und darüber hinaus 6 Fuß (etwa 1,74 m) tief aufzugraben und dann mit einer stützenden, schräg aufgemauerten Vorlage abzustützen waren, wie das an der Ecke vor dem Rathaus bereits geschehen war. Nur so war die Mauer dem Druck des Gewälbes, das ‚so viel höher als die Straße ist‘, gewachsen. Auch die Ecke bei Fädelers Haus mußte neue gemauert werden und eine schräge Vorlage erhalten. Zudem war die Mauer an der Seite des Liebgrauenkirchhofs (im Norden) auszubessern. Im Keller selbt mußten die Mauern ‚durchhin unterfaßt‘ und ausgebessert, die Fensterwangen abgebrochen, erneuert und ‚mit neuen Bogen übewolbet werden‘. die Ecke an der Obernstraße war auszubessern.“ Darüber hinaus machte Knust noch Vorschläge zu der Wasserrinne, welche bisher aus Klinker und deshalb undicht gewesen sei. Er schlägt eine Alternative aus „Grauwerk“ vor. Auch neben diese Rinne „sollte dann statt der Klinker drei Ellen (etwa 1,77m) breit ‚Astrick‘ (ein Plattenbelag) gelegt werden.“ Insgesamt konstatierte er, dass es trotz dieser Ausbesserungen nur eine Frage der Zeit sei, bis das Gewölbe unwiederbringlich geschädigt sei.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Maurermeister Johann Knust,S. 51,ID #334
[J] 1685-11-27,Ratsprotokoll mit Planungen für einen Börsenbau in Bremen mit der Anweisungen mit einem „Architecto“ zu sprechen,"„Im Ratsprotokoll vom 27. Nov. 1685 heisst es: ‚Börse Bedeckung. Proponirte Dn. Praeses, dass die Börse nothwendig müsse gebauet werden, damit der Keller nicht zerfiele. Concl. dass etliche Herren zu committiren, die mit diesem (sic) Architecto conferirten, einen Ueberschlag machten, was es in Stein und was es in Holz kosten würde, dahero dann materialia dazu gegen den Frühling beyzuschaffen.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen  (ID #753),S. 141,ID #128
[J]1686,Anfertigung von Abrissen und eines Holzmodells der Bremer Börse durch Architekt Broebes und Abnahme durch die Bremer Weinherren,"„Wie nun die damahligen Weinherrn, als Herr Bürgermeister Ditericus von Kappeln und Herr Dethard Köper, Senator, vermerket, daß der hiesige Weinkeller in gutem Stande und außer allen Schulden were, […]. Derselbe [Broebes] machte nicht alleine einige Abrisse auf Papier, sondern auch von Holtze eine verjungte corperliche Figur (die ich auch selbsten gesehen), wie diese Börse sich praesentiren sollte.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Bgm. Ditericus von Kappeln (Weinherr), Senator Dethard Köper (Weinherr), „Baumeister“ Jean Baptiste Broëbes",S. 384,ID #11815
[J] 1686-07-XX,Beginn des Börsenbaus in Bremen,"Nach der Einstellung von Broëbes als Ratsbaumeister „wurde Anno 1686 im Julio der Anfang mit dem Bau gemacht.‘“ Hinweis auf Beginn des Börsenbaus nach Einstellung von Jean Baptiste Broëbes aus der Koster-Chronik
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Jean Baptiste Broëbes (ID #475),Sp.3;S. 384,ID #11817;ID #11815
"[J] 1686, ab Juli",„Versenken“ großer Quadersteine im Fundament der Bremer Börse,"„Sofort ließ der Frantzose tief zum neuen Fundamente graben und die schönsten großen Quadergrausteine, die man hie [d.h. am Bremer Handelsplatz innerhalb der Stadt] haben künte, unten in die Erde legen, welche hernach nicht wieder gesehen worden.“ Muss nach Juli [J] 1686 geschehen sein.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",„kostbahre[r] Baumeister“ Jean Baptiste Broëbes  (ID #475),S. 384,ID #11815
[J] 1686 - 1692,Anstellung von Jean Baptiste Broebes als Ratsbaumeisters von Bremen,"„‘Dieser‘ Architectus, dessen Name im Protokoll fehlt, war Jean Baptiste Broebes, ein französischer Refugié, von 1686-92 Ratsbaumeister mit 120 Thlr. Jahresgehalt, in bremischen Aktenstücken fast nie richtig geschrieben, sondern in verschiedenen Entstellungen wie Probes, Proves, Provées, Brobes vorkommend.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Jean Baptiste Broëbes, auch: Probes, Proves, Provées, Brobes  (ID #475)",S. 141,ID #128
[J] 1687-09-23,Eintrag ins Ratsprotokoll bezüglich Schwierigkeiten beim Bremer Börsenbau,"„Es heisst [...] im Ratsprotokoll vom 23. Sept. 1687: ‚ist wegen des Bauwerks Erinnerung geschehen, dass bei der Börse und am Thore schwierigkeiten vorfallen, ob nicht die H. H. Deputirten alles zu dirigiren?‘ Aus dem Dann folgenden Beschluss ergiebt sich aber, dass es sich dabei nicht etwa um Nachlässigkeiten oder um Fehler des Broebes handelte: ‚Concl., dass die Capitehlen auf der Börse aus ganzen stükken zu machen und Bierman anzudeuten, dass er leyden soll, damit auf gemeiner Mauer gebauet werde, bei straffe des H. Camerary, übrigens es bei den H. H. Deputirten alles stehen zu lassen.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Jean Baptiste Broëbes (ID #475),S. 155,ID #128
[J] 1688-03-30,Ratsprotokoll bezüglich der Tätigkeit der Steinhauer am Bremer Börsenbau,"„Wir hören aus dem Ratsprotokoll vom 30. März 1688, nachdem schon acht Tage vorher darüber geklagt worden war, dass man mit den Steinhauern wegen ihrer hohen Forderungen nicht zur Richtigkeit kommen könne: ‚Ist proponiret, dass die Steinhauer die Arbeit an der Börse je länger je höher steigerten, was also anzufangen? Concl. dass Brokamps und Bielenfelds Arbeith jurato zu ästimiren, sie damit zu dimittiren, in ihrer Stelle auch mit andern meistern aufs genaueste zu schliessen.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Steinhauer Brokamps (evtl. ID #476), Steinhauer Bielefeld (Focke, Werkmeister schauen)",S. 151,ID #128
[J] 1689-09-15,Eintrag der Geburt von Jean Baptiste Broebes Sohn gleichen Namens in das Kirchenbuch der französischen Gemeinde Bremens,"„189 Septembre. Broëbes fils du Sr. Jean Baptiste Broëbes et de dem.lle Sybille Beneken mariez, né le dimanche 15. Septembre, a eté battize par M. Icard dans la maison du d. Sr. Broëbes le lundy suivant 16c du d. mois présenté en battesme par le d. Broëbes son Pére et par démoiselle Sybille Dincklag.”
Verknüpfungswunsch: Bremen (ID #668)","Jean Baptiste Broëbes  (ID #475), Jean Baptiste Broëbes Junior, Sybille Beneken, Sybille Dincklag",S. 142,ID #128
[J] 1690-01-09,Ratsprotokoll zur Materialbeschaffung für den Bremer Börsenbau,"„Für die etwas verdächtig scheinende Pause im Bau, die nach den vorstehenden Rechnungsauszügen im Jahre 1690 eingetreten ist, giebt uns das Ratsprotokoll die Aufklärung. Am 9. Januar 1690 heisst es: ‚börseperfectionirung. Ist proponiret, wie die börse zu perfectioniren und desshalb die materialia herbegebracht werden solten. Concl. dass die materialia zwar herbeizuschaffen, allein vor der Hand dass was nötig sei zu perfectioniren, die Zierahten aber hinauszusetzen sein usque in meliora tempora.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Rat der Stadt Bremen  (ID #753),S. 154,ID #128
[J] 1689 - 1690,Broebes initiiert Präfabrikation von Werksteinen nach seinen Angaben,"„Auf diesen zwischengesteckten Balgen nun ließ er die nach seiner Anordnung gehauene schwere und große Grausteine legen und darauf folget das (nicht zu wol proportionirte) Dach.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Jean Baptiste Broëbes  (ID #475),S. 384,ID #11815
[J] 1691-12-09,Bitte Broebes um seine Entlassung beim Bremer Rat,"„Aber zu seiner Entweichung aus Bremen, die natürlich seinem Renommée verderblich sein mußte, ist doch zu bemerken, dass er am 9. Dezember 1691 ordnungsmässig schriftlich um seine Dimission gebeten hat, worauf er aber den Bescheid erhielt: ‚dass er vorher die Börse zur Perfektion bringen müsse, alsdann er die Dimission erhalten könne.‘“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Jean Baptiste Broëbes  (ID #475),S. 151,ID #128
[J] 1692 (Herbst),Verschwinden von Jean Baptiste Broëbes mit seiner Frau aus Bremen,"Broëbes verlässt die Stadt 1692, ohne dass der Bau beendet ist. Der Bau soll „bis in anno 1692 über zwantzigtausend Reichsthaler“ gekostet haben. Wahrscheinlich ist ging Broëbes im Herbs fort.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Jean Baptiste Broëbes  (ID #475),S. 385,ID #11815
[J] 1692 ,Antritt der vakanten Stelle als Baumeister in Bremen durch einen Ingenieur aus „königlich-dänischen Diensten zu Oldenburg“,"In der Koster-Chronik wird deutlich, dass ein Ingenieur aus dem dänischen Oldenburg als Nachfolger am Bau der Börse tätig war. Focke schreibt, er habe den Namen „Anhalt“ getragen und sei, im Gegensatz zu Kosters Behauptung bereits 1693 anstatt 1694 verstorben. Muss zeitlich nach dem Weggang von Jean Baptiste Broëbes geschehen sein.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Ingenieur aus „königlich-dänischen Diensten zu Oldenburg“ Anhalt.,S. 385;S. 144F,ID #11815;ID #128
[J] 1694,Übernahme des Baumeisteramts in Bremen durch Hermann Bruggeman,"In der Koster-Chronik wird der Bremer Herman Bruggeman als neuer Baumeister der Börse bezeichnet, „dessen Vatter allhie lange Jahr Burger wachtmeister gewesen;“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Hermann Bruggeman (ID #478),S. 385,ID #11815
[J] 1695,Bruggeman bringt den Bau der Bremer Börse zu Ende,"„Derselbe brachte den Bau zu Ende, nachdem solcher wol 25 Tausend Reichsthaler gekostet, sodaß am Ende des 1695sten Jahres einige Boden [= Buden], so darauf gemachet worden, verhäuret [= vermietet]  werden konten.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Hermann Bruggeman (ID #478),S. 385,ID #11815
[J] 1696 - 1698,Bau des Armenhauses in der Großenstraße in Bremen,"„Die Wirtschaftslage war schlecht, und es fiel schwer, größere Beträge aufzubringen.[ Bau des Armenhauses]. Baumeister war der Bremer Hermann Brüggemann, der kurz vorher die Börse vollendet hatte.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",Baumeister Hermann Brüggemann (ID #478),S. 407,ID #11816
um [G] 1733 ,Fragenkatalog an unbekannten Baumeister bezüglich Renovierung der Bremer Börse,"„In den Archivakten folgt nun nach vorstehendem Protokollauszuge ein undatierter, aber zweifellos aus der Zeit von 1733 stammender Zettel mit zehn artikulierten Fragen an einen nicht genannten Bauverständigen, von denen Frage 1, 2, 3, 4,  und 9 besonders interessant sind: ‚1) ob der ehemalige Baumeister der Börse das Gebäude zu einer Etage nur angeleget und ob es dahin von auswärtigen Baumeistern angeführet und angepriesen worden? 2) ob die Schadhaftigkeit der Börse allein in der Flach des Daches bestände und derselben abgeholfen werden mögen, wan ein höheres gebrochenes Dach darauf kähme und die Schottronnen der Dachfenster mit Kupferblech unterlegt würden? 3) Ob der von dem ehemaligen Baumeister zwischen dem Frise und Archetra (sic) in der Mauer gelegete Balcke mit gutem Vorbedacht zu dem ende dahin gelegt, damit dadurch anstatt eines wenigst inwenig zu machenden Bogens die von Steinen überbaueten Thüren und Fenster woll und guht erhalten würden? 4) ob durch die vorgenommene Ausshauung des Balkens und Einsetzung der Mauersteine eine Pressung verursacht, dadurch die Fensterstürzen gebrochen? ..... 9) ob die Unkosten von dem gebrochenen Dach mit der neu aufzusetzenden zweiten Etage fast gleich sein würden?‘“ Focke sieht hier eindeutig den Hinweis auf Unentschlossenheit bezüglich Dachveränderung oder Etagenaufstockung.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 157f,ID #128
[G] 1733 - 1738,Aufstockung der Bremer Börse,"„Leiter des Baues war der Ingenieur-Kapitän Giselbert von Warneck. Die Steinmetzarbeiten besorgten Jürgen Gercken und  Theophilus Wilhelm Frese.“
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)","Ingenieur-Kapitän Giselbert von Warnek, Steinhauer Jürgen Gercken (ID #519), Stein- und Bildhauer Theophilus  Wilhelm Frese (ID #510)",S. 158,ID #128
[J] 1888-01-01,Brand der Alten Börse in Bremen am Neujahrstag,"Nach dem Brand erfolgte keine Wiederherstellung des Gebäudes und der Platz wurde nicht neu bebaut.
Verknüpfungswunsch: Bremen (ID #668), Börse Bremen (ID #11771)",,S. 162,ID #128
