Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
1562-03-17,Brief  von Hrzg. Otto von Braunschweig-Lüneburg an Graf Otto IV. von Holstein-Schaumburg mit Angaben zu den Maßen der bestellten Steinelemente für die Harburg,"Auflistung von Steinelementen, die der Meister anfertigen soll:""das er uns zu unseren angefangnen gebeweden,alhier, Sechzehn fenster, Eilff Simpsen under fenster, und zwenchisch, auffpizen soll, und solches alles in Vierzehn tagen nach diesen Ostern also zu vertigen sich verpflichten, das solchs INn verzehn tagen nach gemellien Ostern, künde ahn das wasser gebracht werden..."" Herzog Otto will Brecherlohn wissen, und die Zusicherung Graf Ottos, dass der Stein ans Weserufer gebracht wird. Bitte um zügige Ausführung, um den Fortgang des Baus nicht zu hemmen.
Verknüpfungswunsch: ID #29; ID #2, ID #11757; Harburg","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Maurermeister",,NLA BÜ ,L 1 Nr. 6893,49r-51v,
1562-03-18,Vertrag zwischen Herzog Otto zu Braunschweig-Lüneburg und Meister Harmen Keitmar zu Obernkirchen,"Vertrag enthält genaue Arbeitsaufträge mit Maßen, Lohn, Transport
Verknüpfungswunsch: ID #2; ID #11747; ID #745","Jochin von Bittelt, Herzog Otto zu Braunschweig-Lüneburg, Meister Harmen Keitmar zu Obernkirchen, Theobuldus Brunner, Meister Pauel Brauns",,NLA BÜ,L 1 Nr. 6893,52r-53v,
1562-04-14,Brief von Herzog Otto zu Braun.-Lüneb. an Graf Otto IV. zu Hol.-Schaumb. bezüglich der durch den Herzog zu Braunschweig-Lüneburg gesandte Schiff für den Steinabtransport,"Hrzg. Otto macht deutlich, dass die geforderten Stücke gebrochen sind und er bittet darum, sie jetzt ans Wasser bringen zu lassen, da er ein Schiff zur Abholung ausgesandt hat. Außerdem möchte er den Brecherlohn wissen, um diesen an die Steinmetze zu zahlen.
Verknüpfungswunsch: ID #29; ID #2; Harburg","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Steinmetze",,NLA BÜ ,L 1 Nr. 6893,54r-55v,
1562-04-29,"Brief von Herzog Otto zu Braunschweig-Lüneburg an Graf Otto IV. zu Hol.-Schaumb. Bestätigung des Zugegenseins Harmen Keitmars in Harburg, Hoffnung auf baldige Bereitstellung des Steins","Hrzg. Otto hofft darauf, die Steine noch vor dem Winter zu bekommen, seine Baustelle steht jetzt schon unter Zeitdruck. Bitte um Entsendung von Steinmetzgesellen
Verknüpfungswunsch: ID #29; ID #2; Harburg, ID #11747; ID #745","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Harmen Keitmar zu Obernkirchen",,NLA BÜ ,L 1 Nr. 6893,56r-57v,
1562-05-04,Brief von Graf Otto IV. zu Hol-Schaumb. an Herzg. Otto zu Braunschw.-Lüneb. Bestätigung des Empfangs mit Angaben zu Anzahl und Art der durch Keitmar ausgefertigten Werkstücke.,"Bestätigung des Empfangs der Werkstückanzahl, Übersendung der Steine ans Wasser wird von Graf Otto vorbereitet.
Verknüpfungswunsch: ID #29; ID #2; ID #745; Harburg ","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Herman Keytmar zu Obernkirchen",,NLA BÜ,L 1 Nr. 6893,58r,
1562-05-12,Brief von Herzog Otto zu Braun.-Lün. an Graf Otto IV. zu Hol.-Schaum. Erwähnung von entsendetem Meister und bestellten Stein,"Hrzg. Otto bestätigt Erhalt von Schreiben Graf Ottos IV.. Bittet wiederum darum, dass der von Gr. Otto entsendete Meister sich bei ihm verdingen darf und dass die für ihn gebrochenen Steine ans Weserufer transportiert werden sollen.
Verknüpfungswunsch: ID #29; ID #2; ID #745; ID #11747; Harburg","ID #11754; Herzog Otto zu Braunschweig-Lüneburg, Maurermeister ",,NLA BÜ ,L 1 Nr. 6893,47r-48v,
1562-07-26,Genaue Regelung der Bergwahr durch Graf Otto IV. zu Holstein-Schaumburg,"Genaue Regelung der Bergwar. Installierung eines Schreibers auf dem Berg, der Käufer, Verkäufer und Steinmenge verzeichnet. ""Von ein jeden boom wagen soll zur berghwar 6 grossen genommen werden, von ein jeden flechtwagen soll zur Berghwar 4 grossen genommen werden; von ein Karren, der mith Stein abgefuhrt wird, soll 2 grossen genommen werden."" Zoll für auswärts gehenden Stein; kein Zoll auf Stein der in der Grafschaft bleibt.
Verknüpfungswunsch: ID #29; ID #11747",ID #11754,,NLA BÜ ,L 1 Nr. 6862,unfoliert,
1562-08-15,Notiz zur Bergwar.,Verknüpfungswunsch: ID #11756; ID #12029,,,NLA BÜ,L 1 Nr. 6862,5r,
1563-03-12,"Anweisung an den Holzvogt W. Ledebur in Obernkirchen über das Verbot für Steinhauer, Arbeit außer Landes anzunehmen zu informieren","Anweisung über Verbot an die Steinhauer außerhalb Holstein-Schaumburgs ohne des Wissens des Grafen zu arbeiten. ""Das sich Ihrer niemants on unser vorwissen und erlaubniss auss unser herschaft zu Arbeide begeben soll. Dan Ihrern hier arbeid zubeschafen bedarf sein, Wo aber jemants darüber [??] [??] sich begeben, wurde die wollen wir mith weibe und kindern hinfort [??] alds, und sonst in unser Herschafft nicht wissen.""
Verknüpfungswunsch: ID #29; ID #745; ID #11753; ID 11756","ID #11754; Holzvogt Wilhelm Ledebur, Bürgermeister und Rat von Stadthagen, Bürgermeister und Rat des Flecken Obernkirchen, Mauerleute und Steinhauer aus Obernkirchen",,NLA BÜ,L 1 Nr. 6863,2r-3v,
1566-11-27,Brief von Balthasar Klammer an den schaumburgischen Kanzler Johanny Wogerruen bezüglich des weiteren Briefwechsels zwischen Graf Otto IV. und der Königin von Dänemark über den Kauf von Sandstein ,"es werden Formalitäten bezüglich des weiteren Briefwechsels zwischen Graf und Königin geklärt
Verknüpfungswunsch: ID #29; ID #11756; Dänemark","ID #11754; Balthasar Klammer, Johanny Wogerruen (schaumburgischer Kanzler), Königin von Dänemark",,NLA BÜ ,L 1 Nr. 6903,7r-v,
1566-12-06,"Brief von dem Balthasar Klammer, Kanzler der dänischen Königin an Graf Otto zu Holstein-Schaumburg","kaum lesbar
Verknüpfungswunsch: ID #29; ID #11756; Dänemark","ID #11754; Kanzler Balthasar Klammer, ",,NLA BÜ ,L 1 Nr. 6903,8r-v,
1567-04-14,"Brief von Kanzler Klammer, Kanzler der Königin von Dänemark an Graf Otto IV. zu Holstein-Schaumburg bezüglich eines Kaufs von Sandstein Steinen","Stein für Bauten der dänischen Königin sollen gekauft werden.
Verknüpfungswunsch: ID #29; ID #11756; Dänemark","ID #11754; Kanzler Klammer, Königin von Dänemark",,NLA BÜ ,L 1 Nr. 6903,3r,
1567-04-22,Brief von Graf Otto IV. zu Holstein-Schaumburg an Kanzler Balthasar Klammer mit Bestätigung des Brieferhalts und Bewilligung der Steinbestellung,"Graf zeigt sich erfreut über Steinbestellung, gibt aber an, dass er nichts über die Preise wisse. ""Dan ehr wirde gemeinlich nach der grosse der Stück, und fuder,  von den Steinhowern etzo von uns die Kaulen gedinget haben, gekaufft."" Der Kanzler solle am Besten jemanden schicken, der sich direkt vor Ort erkundigt und selbst Informationen über die Transportpreise einzieht.
Verknüpfungswunsch: ID #29; ID #11756; Dänemark","ID #11754; Kanzler Balthasar Klammer, Königin von Dänemark",,NLA BÜ ,L 1 Nr. 6903,6r-v,
1569-02-06,"Brief von Graf Otto IV. zu Holst.-Schaumb. an Johan von Langen zu Schaunburch Arensburch mit Betonung, dass Verbot für Steinhauer außerhalb zu arbeiten immer noch gelte und diese sogar dringend in Schaumburg für die eigenen Bauten benötigt würden","Mitteilung darüber, dass sich viele Steinhauer zum Arbeiten nach Holstein begeben, und das obwohl der Graf selbst einen hohen Bedarf an Handwerkern hat, um seine Gebäude in Bückeburg zu errichten. Bestätigung des bereits 1562 ausgesprochenen Verbots für Steinhauer im Ausland zu arbeiten.
Verknüpfungswunsch: ID #29; ID #11756",ID #11754; Johan von Langen zu Schaumburg-Arensburg?,,NLA BÜ ,L 1 Nr. 6863,unfoliert,
1569-05-19,Brief von Jost Spiegelberg an Graf Otto IV. zu Holstein-Schaumburg betr. Türsteine für die Vorburg in Petershagen,Verknüpfungswunsch: ID #11756,ID #11754; Jost Spiegelberg,,NLA BÜ ,L 1 Nr. 6909,49r-v,
1569-12-07,Brief der Kanzlei von Braunschweig an Unbekannt -> Bezahlung an?? ,"Schreiben des Braunschweigischen Kanzlers mit Bezügen zu den Steinlieferungen von Bückeberger Sandstein nach Antwerpen. Es geht auch um Zinsen und Kapitaleinlagen. Scheinbar wurden einige Raten nicht gezahlt?
Verknüpfungswunsch: ID #29; ID #2; ID #11756; ID #669","Harnig Ernlko, Heinrich Spilken, Johan Waldthansen",,NLA BÜ,L 1 Nr. 6913,14r-v,
1570-06-30,"Brief von Arndt Cordes, Bürger zu Bremen an Graf Otto IV. zu Holstein-Schaumburg betr. Beschwerde über Abfuhr von ihm bereits gekauften Steines von Lade an der Weser","Arndt Cordes hatte im Jahr zuvor 15 Fuder Blockstein und einen Grabstein ""tho Lade by der Weser liggenn gehait habe, den ick Gerde potter Borger tho Overnkerkenn affgekofft: Unnd ock mit mynem Barren gelde betalet habe"" Diese Steine sein durch gräfliche Amtsleute nach Bückeburg für den gräflichen Bau abgeholt, sein Zeichen überschlagen und ihm neue Steine als Ersatz zugesichert worden. Diese Ersatzsteine sind aber nun nicht vorhanden und er bekommt finanzielle Probleme. Cordes besteht auf die Übersendung seiner Waren.
Verknüpfungswunsch: ID #29; ID #11756; ID #668","ID #11754; ID #763; Arndt Cordes (Bürger zu Bremen, vermutl. Steinhändler), ",,NLA BÜ,L 1 Nr. 6915,6r-v,
1573-05-14,Brief von Gerhardt Stedingk aus Petershagen an den Schaumburgischen Kanzler Johan Bogreven betr. von Steinkauf bei Stadthagener Steinhaueren,"Stedingk hatte bei einem Steinhauer 100 Fuder Stein bestellt, die dieser allerdings nicht problemlos beschaffen konnte. Deshalb möchte Stedingk sich nun in anderen Kuhlen umsehen. Der Kanzler solle bitte dafür sorgen, dass ""...ich dieselben Stein nach dieser Jetzo verrichten Säth, Unnd also in der Ledigstenn zeitt, ann die Wöser zu Lähe gerne haben wolete..."" Bergwahr soll entrichtet werden.
Verknüpfungswunsch: ID #29; ID #11756; Petershagen-Lahde","ID #11754; Gerhardt Stedingk (aus Petershagen), Johan Borgreven (schaumburgischer Kanzler, Stadthagen)",,NLA BÜ,L 1 Nr. 6916,10r-11v,
1575-08-20,Brief von Hrzg. Otto zu Brauns.-Lüneb. an Graf Otto IV. zu Holst.-Schaum. mit der Bitte um Stein für die Harburg,"Hrzg. Otto zu Brauns.-Lüneb. Bittet um Stein für sein ""Haus Harburg"", ""ein par hundert fuder werkstück"" Er möchte den Stein vom Bückeberg Bergwar frei erhalten. Er spricht auch die Bitte aus, diese Steine ans Wasser führen zu lassen. Die Lieferung sollte am besten vor dem Winter geschehn.
Verknüpfungswunsch: ID #29; ID #11756; ID #2",ID #11754; Herzog Otto zu Braunschweig-Lüneburg,,NLA BÜ,L 1 Nr. 6893,28r-v,
1575-09-22,Brief von Otto Herzog zu Brauns.-Lüneburg an Graf Otto IV. zu Holstein-Schaum. Wiederholung der Bitte um einige hundert Fuder Werkstücke für die Harburg,"Otto von Braun-Lüneb. erneuert seine Bitte, möchte für seine Festung bzw. seine ""Haus harburg"" ""ein par hundert fuder werkstück"" vom Bückeberg Bergwarfrei zu erhalten. Otto IV. zu Holstein-Schaumburg soll diese Steine ans Wasser führen lassen, so dass eine Lieferung  vor dem Winter möglich wird.
Verknüpfungswunsch: ID #29; ID #11756; ID #2",ID #11754; Herzog Otto von Braunschweig-Lüneburg,,NLA BÜ,L 1 Nr. 6893,26r-27v,
[J] 1584-02-22,"Brief von Herzog Adolf zu Schleswig-Holstein, Graf zu Oldenburg an den schaumburgischen Rat und Kanzler Antonio Witersheimb bet.  Steinbestellung für Schleuse in den Marschlanden","""Wir geben auch in gnaden hiermit zuerkennen, das wir zu erbauwung einer Neuen Schleuse dis orthes zu unsern Marschlanden, ungefehrlich dreihundert foder bückenberger stein kommittten haben, Darumb wir dan auch zeigen unsern Steinhowern Meister Gillies Landon abgefertigt haben...""Der Brief enthält die Bitte darum, einen günstigen Preis für den Stein zahlen zu müssen und dass der Landtransport ebenso wie der Wassertransport durch die Schaumburger abgewickelt wird.
Verknüpfungswunsch: ID #29; ID #11756; ID #23; Schleswig-Holstein","Herzog Adolf zu Schleswig-Holstein, Graf zu Oldenburg, Antonio Witersheimb (Schaumburgischer Rat und Kanzler), Steinhauermeister Gillies [Landon?] (vermutl. Oldenburg?)",,NLA BÜ,L 1 Nr. 6899,13r-14v,
[J] 1584-02-24,"Brief von Herzog Adolf zu Schleswig, Holstein/Graf zu Oldenburg an Graf Adolf XI. zu Holstein-Schaumburg betr. Steine für die Schleuse in den Marschlanden","""Was wir bedacht sein, In unsrem Marschlanden mehrere bestendigkeit halber von gehauwen Stein eine neue Schleusse verfertigen und aufsetzten zulassen, dadurch man mitt Schiffen faren konne, Wan dan in euwere Graffschafft der Stein, welcher hierzu dienlich, zubekommen, So haben Wir derwegen Igenwertigen unsern Steinhauwer Meister Gillies [Landen/Canden?] abgefertigt, Daselbst umb die gepur veri hondert fuder Stein brechen zulassen, Unnd dieselben in dieses unsere Furstenthumbe zum gelgentligten zuuber schiffen unnd zuberbringen..."" Der Herzog zu Schleswig-Holstein hofft auf Hilfe durch Grafen bei Abtransport und auf die Erlassung von Gebühren.
Verknüpfungswunsch: ID #29; ID #11756; ID #23; Schleswig-Holstein","Adolf Graf zu Oldenburg ,Adolf XI. Graf zu Holstein-Schaumburg, Steinhauermeister Gillies Landon/Candon",,NLA BÜ,L 1 Nr. 6899,15r-16v,
[J] 1584-04-11,Brief des Kanzlers und der Räte des Stifts Osnabrück an Graf Adolf XI. zu Holstein-Schaumburg betr. Steinlieferung für Bauten in Osnabrück,"Bitte um Steine für die neuen Bauten in Osnabrück, angeordnet durch Heinrich, Erzbischof zu Bremen, Stift Osnabrück und Paderborn. ""Van dan auch under anderenn ungefehr dreissigh [tride?] Steins zu einem Windelgange jedes stücke In die lengde siebenthalben und an breite zwei fueß bedurfftigh befundenn, unnd derselbigh stein uff Ero. Gnaden Buckeburger Khulen nothwendungh mus besetellet werdenn."" Bitten darum, dass der Stein durch den Grafen zu Holst.-Schaumburg bis ins Dorf H/G/Bille gebracht wird.
Verknüpfungswunsch: ID #29; ID #11756; ID #3; Osnabrück, ","Kanzler und Räte des Stifts Osnabrück, Graf Adorf XI. zu Holstein-Schaumburg, Heinrich Erzbischof zu Bremen, Stift Osnabrück und Paderborn",,NLA BÜ,L 1 Nr. 6911,1r-2v,
[J] 1584-07-XX,Brief von XXX an Graf Adolf XI. zu Holstein-Schaumburg betr. die vorherige Steinbestellung für Osnabrück,"Der Stein wird in Osnabrück dringend benötigt, nochmalige Bitte um Fuhr nach Hille, Erwähnung eines Vogtes.
Verknüpfungswunsch: ID #29; ID #11756; ID #3; Osnabrück","XX, Adolf XI. zu Holstein-Schaumburg, Vogt?, Bote",,NLA BÜ,L 1 Nr. 6911,3r-4v,
[J] 1603-12-27,"Brief von Erzbischof Johann Friedrich zu Bremen, Herzog zu Schleswig-Holstein an Graf Ernst zu Holstein-Schaumburg betr. Steine zum Wideraufbau der Erzbischöflichen Residenz in Bremervörde","Nach einem Brandt der erzbischöflichen Residenz muss diese wiederaufgebaut werden, dazu wird Stein aus den Steingruben am Bückeberg benötigt, eigener Baumeister?   -> Bitte an Graf Ernst freie Wagenfuhr bis an die Weser zu erlauben, darüber hinaus möchte der Graf zu Oldenburg auch noch einen Eichen Steinkohle.
Verknüpfungswunsch: ID #3; ID #29; ID #11756","ID #12024; Erzbischof Johann Friedrich zu Bremen, Baumeister",,NLA BÜ ,L 1 Nr. 6910,2r-3v,
[J] 1604-01-21,"Konzept Brief von Graf Ernst zu Holstein-Schaumburg an Erzbischof Johann Friedrich zu Bremen, Antwort auf die Anfrage um Steine für Bremervörder Residenz ","""Was dan die [Einschub: Stein?] Gibel und andre Steine so E. g. von meinem Berge allhier zu erbawungh E. g. fürhabenden neuen Schlosses begeren... ""Graf Ernst will sich für guten Preis einsetzten, hat aber keinen Einfluss auf die Fuhr, der Baumeister des Erzbischofs solle sich selbst darum kümmern.
Verknüpfungswunsch: ID# 3; ID #29; ID #11756","ID #12024; Johann Friedrich Erzbischof zu Bremen, Baumeister des Erzbischofs ",,NLA BÜ,L 1 Nr. 6910,4r-5v,
[J] 1604-12-15,Brief von Johann Friedrich Erzbischof zu Bremen an Graf Ernst zu Holstein-Schaumburg bet. Bitte um Übersendung von Pflastersteinen,"Erzbischof hatte seinen Baumeister aufgetragen, Pflastersteine in den Bückeburger Gruben brechen zulassen. Dies sei ihm aber verboten worden, was zu Probleme mit dem halbfertigen Bau geführt habe. Der Erzbischof hofft, dass Ernst die geforderten 1600 Ellen bald möglichst überstellen lässt.
Verknüpfungswunsch: ID #3; ID #29; ID #11756","ID #12024; Johann Friedrich Erzbischof zu Bremen, Baumeister des Erzbischofs",,NLA BÜ,L 1 Nr. 6910,10r-v,
[J] 1604-12-21,Brief von Graf Ernst zu Holstein-Schaumburg an Johann Friedrich Erzbischof zu Bremen bezügl. der erzbischöflichen Bitte um Übersendung von 1600 Ellen Pflastersteine ,"Graf Ernst bestätigt den Erhalt der Bitte um Übersendung von 1600 Ellen Pflasterstein von Ernsts Berg erhalten. Ernst kann aber keine 1600 Ellen Pflasterstein erübrigen, ""als ich [mir?] dies und kunfftige Jahr zu meinem eigenen gebeuwd werde von notten haben.""
Verknüpfungswunsch: ID #3; ID #29; ID #11756; ID #747",ID #12024; Johann Friedrich Erzbischof zu Bremen,,NLA BÜ,L 1 Nr. 6910,6r-v,
[J] 1607-04-17,Vertrag zwischen Graf Ernst und den Steinhauern zu Stadthagen und Obernkirchen über die Verpachtung der Steinkuhlen auf dem Bückeberg für einen Zeitraum von 5 Jahren,"Steinhauer und Graf schließen Vertrag ab. In dieser Übereinkunft wurde die Abgabe der Bergwar neu geregelt, Anstatt dass, wie zuvor, pro abgeführtem Fuhrwerk eine bestimmte Summe an den Grafen bezahlt wurde, sollten nun alle Steinhauer zusammen 350 Taler im Jahr entrichten. Die Zahlung wurde jeweils zur Hälfte an Michaelis und Mittfasten fällig.
Verknüpfungswunsch: ID #29; ID #11753; ID #745; ID #11756",ID #12024; ID #5703; Sämtliche Steinhauer zu Stadthagen und Obernkirchen,,NLA BÜ,L 1 Nr. 6864,1r-3v,
[J] 1607-04-18,Eingabe der sämtlichen Steinhauer zu Obernkirchen an den Grafen Ernst zu Holstein-Schaumburg betr. die Steinniederlage bei Petershagen,"Probleme mit dem Steinlagerplatz an der Weser, seit langer Zeit in Benutzung, jetzt wird auf Steinfuhr dorthin eine Abgabe von 2 gr. erhoben, Hoffnung, dass Steinniederlage wieder wie zuvor genutzt werden kann. Darüber hinaus gibt es auch Probleme bei dem Erhalt von Wagen zur Steinabfuhr. Die Steinhauer bitten den Grafen, ihnen zu helfen.
Verknüpfungswunsch: ID #29, ID #745; Petershagen-Lahde","ID #12024; ID #5703 (sämtliche Steinhauer zu Obernkirchen), Kammersekretär Christoffer Bomm",,NLA BÜ,L 1 Nr. 6865,1r-3v,
[J] 1607-09-16,Eingabe der sämtlichen Steinhauer zu Obernkirchen an Graf Ernst zu Holstein-Schaumburg betr. Steinniederlage bei Petersahgen,"Erneutes Gesuch an den Grafen, die Situation am Steinlagerplatz zu verbessern. Bereits jetzt haben Steinhauer Schwierigkeiten Bergwar aufzubringen, da die Abgaben bei Petershagen zu hoch sind, Bitte um Widerherstellung des alten Zustandes mit der Hilfe von Steinhauermeistern, die nicht zeitgleich Grubenpächter sind.
Verknüpfungswunsch: ID #29; ID #745; Petershagen-Lahde",ID #5703 (sämtliche Steinhauer zu Obernkirchen); ID #12024,,NLA BÜ,L 1 Nr. 6865,4r-5v,
zwischen 1607 und 1612,"undatierte Liste mit Zahlungen der Steinhauer aus Obernkirchen und Stadthagen, evtl. Bergwar?",Verknüpfungswunsch: ID #29; ID #11756; ID #745; ID #11753,"ID #5690; ID #922; Obernkirchen: Johann Bonklo, Hermenn Schlutter, Adam Tribbe?, Hans Edler, Heinrich Witte, Johann Witte, Johann Rutter, Hans Holste, Tonnies Helmerdunk, Henrich Scherpe, hans Eickmann, Johann Rutter senior, Hans Abell, Henrich Brotkop, Heinrich Piepenrinck, Reineke Bruggeman, Hermenn Richterdink, Tonnies Mevert, hermenn Bartterman, heinrich Herdenk, 
Stadthagen: Hans Buberts, Didrich Kollingk, Johann Horstmeier, Hans Hegemeier, Hans Robbbeke, Arent Bentkingk, Werner Bartterman
",,NLA BÜ,L 1 Nr. 6864,4r-v,
[J] 1608-07-20,Brief von Christian Bischof zu Minden an Graf Ernst zu Holstein-Schaumburg btr. Steine für bischöfliche Gebäude und Probleme bei der Steinbeschaffung,"Bischof schreibt, da ein Schaumburger Steinhauer, Tonnis Mewer, einen hohen Preis für den Stein verlangt, was der Rat und Droste Dietrich von Brinke dem Rat Johan Bessels berichtet habe. Der Bischof wendet sich jetzt an Ernst, in der Hoffnung günstigeren Stein zu erhalten.
Verknüpfungswunsch: ID #29; ID# 11756; ID #1297","ID #12024; Christof Bischof zu Minden, Tonnis Mewer (Steinhauer zu Obernkirchen, Untertan von Ernst), Rat und Droste Dietrich von Brinke, Rat Johan Bessels (Minden), Mauermeister (Minden)",,NLA BÜ,L 1 Nr. 6907,16r-17v,
[J] 1608-06-02,"Brief von Christian Bischof zu Minden an die gräflich holstein-schaumburgische Kanzler und Räte betr. Berichte über Verbot an die Steinhauer, Steine zu liefern","Bischof Christian will sich erkundigen, ob tatsächlich ein Verbot bestehe, Steine nach Minden zu verkaufen. Dies hemme den freien Handel und er möchte den Anlass erfahren.
Verknüpfungswunsch: ID #29; ID #1297","ID #12024; Bischof Christian zu Minden, Kanzler und Räte zu Holstein-Schaumburg",,NLA BÜ,L 1 Nr. 6907,19r-v,
