Datum,Titel,Kommentar,Personen,Literatur,Archiv,Sig./Inventarnr,Folierung
[J] 1690-09-XX [J] 1690-10-XX,Fuhrkosten für „grauwerck stein“ für Bremer Börse,"„Herman Hagens […] an die borse 1 fuhr grau werck stein – 9 gr. […]      Item 1 fuhr a 1 schock schevel stein – 4 1/2 gr.“  September oder Oktober
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Fuhrmann Herman Hagens,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 4)
[J] 1690-10-24,Lieferung von 4 steinernen Wappen für die Bremer Börse,"„24. Oct. Zahlte an Wilcken van Ham vor die 4 steinerne wapen vor der Borse laut dessen quittung N. 11 – 16 Rtl.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Meister Wilcken van Ham,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 5)
[J] 1691-01-14,Lieferung von „grau werck steine“ zur Börse,"„Ao. 1691 den 14. Januar Zahlt an Joachim Fobma vor grau werck stein so Er zur Börse gelieffert laut dessen Rechnung und quittung No. 18 – 10 Rtl. – 42 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Joachim Fobma (Steinhändler Bremen),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 6)
[J] 1692-03-16,"Erneute Anfrage Broëbes an den Bremer Rat, Bremen verlassen zu dürfen","„Erbot sich Brobes alles bis auf die Stangen und fenster fertig zu machen, was am 16. März ratificirt wurde.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Jean Baptiste Broëbes, Rat der Stadt Bremen (ID #753)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1693-05-04,Anfrage auf Vollendung der Börse,"„wurde auf die Umfrage, ob nicht der Börsebau zu perfectioniren, concludirt quod sic, und der Winherren die bau- und Meherherrren adjungirt.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Rat der Stadt Bremen (ID #753) (Weinherren, Mauer- und Bauherren)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1693-07-22 ,Bezahlung der Steinhauermeister für die Lieferung von bearbeiteten Sandsteinelementen,"22. Juli „den steinhauern zahlt von 537 st[ück] von 5 ehl[en] undt 200 stück Jedeß von 3/4 ehl[en]"" laut Zettel N. 11 – 9 Rtl. 39 gr[oten]
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1693-07-28,Bezahlung der Steinhauermeister für Lieferung und „kanten“  von „Ellensteinen“,"28. Juli „den steinhauern ferner zahlt von 299 ehlstein zu kanten und 572 st. von ¾ ehl[en] thun 120 ehl[en] a 1[?] gr. von der ehl seint zusammen 428 gr."" Laut zettel N.12 – 5 Rtl. – 68 gr.
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 2)
[J] 1693-10-02,Lieferung von „Braunstein“-Platten für den Börsenbau,"„2. Oct. zahlt ahn otto Hollman vor gelifferte Braunstein zur Borse a 9 rt. die 100 ehl[en] laut Zettel No. 28 – 176 Rtl.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Sollingstein-Lieferant Otto Hollman (Kaufmann, Steinhändler?)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 2)
[J] 1693-11-16,Verlegung von Kupferrohren durch das Grauwerk und Dach der Börse,"„16. Nov. Harmen P[?]ndt vor 5 kupfferen Rohren durch die große grauwwercks und eine große Rohr durch daß dach vom offen laut Zettel N 35 – 1 Rtl. – 36 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 4)
[J] 1693-12-XX,Lieferung von Präfabs für die Bremer Börse durch Joachim Fopma,"„Decemb. Joachim Fopma zahlt vor die zwey steineren Pillaren undt Capiteele laut Rechnung N 37 – 44 Rtlr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Bremer Steinhändler Joachim Fopma,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert (S. 4)
[J] 1694-03-16,Bezahlung einer steinerenen Ofenplatte für die „Convoikammer“ in der Bremer Börse,"„Ao 1694 den 16. Mertz zahlt dem Steinhauer Mr. Simon Falske[?] vor eine Steinere offenPlatten auff die Convoy Kammer unter dem offen gemacht laut Zedel N A – 2 Rtl. 36 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Meister Simon Falske (Steinhauer Bremen),,StAB,2-P.2.n.6.b.Bb.I.1,"unfoliert (1694, S. 1)"
[J] 1694-09-19,Bezahlung für „ein grauwenstein“ für die Bremer Börse,"„19. Septemb. Zahlt Mr. Albert Brockam vor ein grauwenstein undt ander grauwerck laut Zedel – 2 Rtl. – 12 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Meister Albert Brockam,,StAB,2-P.2.n.6.b.Bb.I.1,"unfoliert (1694, S.1)"
[J] 1694-10-13,Bezahlung für 46 Fuhren Steingruß von der Baustelle der Bremer Börse fort,"„13. Octob. Zahlt Harmen Hagens vor 46 fuhr Steingrus von der Boerse hinweg zu fuhren laut Zedel – 5 Rtl.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Harmen Hagens (Fuhrmann),,StAB,2-P.2.n.6.b.Bb.I.1,"unfoliert (1694, S.1)"
[G] 1733-06-24,Ratsprotokoll über Eingabe der Weinherren die Börse zu renovieren,"„Im Rate referirten am 24. Juni 1733 die Weinherren, ‚dass eine Reparation der Börse unumgänglich nöthig sein würde, falls selbe nicht gänzlich einstürzen sollte, zu einem so schweren Bau aber wohl ..... [Währungszeichen] erfordert würden dürfte. Concl. zu forderst mit denen hiezu erforderten Handwercksmeistern zu sprechen, ob und zu was für einen Preise eines jeglichen Arbeit nebst denen mit zu liefernden Materialien bedungen werden könne und solchem nächst per commissionem zu überlegen, woher die hiezu erforderte Geldmittel herzunehmen.‘“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Rat der Stadt Bremen (Weinherren) (ID #753),"Focke (1892) Alte Börse, S. 157.",StAB,2-P.2.n.6.b.Bb.I.1,
[G] 1733-09-25,Vorlage des Kostenvoranschlags für die Börsenreparatur,"„wurde der Kosten-anschlag auf 9,566 rt gemacht.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1733-09-25,Extrakt aus dem Wittheitsprotokoll mit Kostenvoranschlag Börse,"„Börsenbau wegen Deliberatio
Desen Nothwendigkeit wird [?]stellet und wan der Überschlag van allen arbeits-
leuten gemachet, als Zimmerer [?] 3520
Stein- und Bildhauerarbeit                 1600 
Mauerarbeit                                              1448 
Tischler                                                          700
Schmiede Arbeit                                        475 
Schiefer                                                         413 
Glaser                                                             300 
Fuhrlohn Handlanger                               270  
allerhand [ ? ] Leuten                               490
                                                                        9566; 25
wäre demnach zu deliberiren woher solchen Gelder zu nehmen? Damit in Zeiten die materialia mögen angeschaffet werden.
conclusum 
daß die Commentturey [ ? ] [ ?] zu-sammen zu treten, desen jenen vorerst 4000 Rtl zu fourriren hätten, auch die Bürgerschaftt eventualiter zum Leitung anzusetzen.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Rat der Stadt Bremen (ID #753),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1733-11-17,Steinhauermeister Gercken und Frese erhalten Vorschuß von 300 Rtl. für Börsenbau,"„Außgabe zum angefangen Börsen=Bau […]    
Dirck fasmes fuhrlohn 1000 stück mauerstein – 1 Rtl. – 48 gr.“ 
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Dirck Fasmes (Fuhrmann),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1734-01-21,Vorschuß Meister Jürgen Gercken – 50 Rtl. für Börsenbau,"„denen wallen bauleuten fuhrlon von 18600 stück stein – 25 Rtl. – 5 gr.
Mstr. Johan Vagt mit 3 Mauerleute diese stein helffen abladen und theils im Keller zu bringen – 6 Rtl. – 6 gr.
[Weitere Bezahlung von Zimmer- und Maurerleuten auf der Baustelle bis April 1734]              
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse ",Meister Johan Vagt (Maurermeister Bremen),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1734-03-31,Extrakt aus einem Wittheitsprotokoll Beschluss über die Kostenaufteilung für Erneuerung der Börse,"„wurde concludirt, daß der Weinkeller nicht dazu beitragen, mit jedem Meister wegen der Kosten reaccordirt, dann bey der bürgerschaft einen Versuch gemacht, ob sie etwas dazu contribuiren wollten, u. wofern sie nicht wollten, deliberirt werden sollen woher die Kosten zu nehmen.“ Der Verfasser der Chronik findet über einen tatsächlichen Antrag an die Bürgerschaft zu diesem Thema allerdings keinen Nachweis.
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Rat der Stadt Bremen (Wittheit) (ID #753),,StAB.,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1734-12-28,Rapport des Kapitän Warnecke zu Kostenvoranschlägen der Bremer Handwerker,"„[…] weil ich aber zu deßen [Börsenbau] projectirunge nicht gefordert bin, als habe ich mich auch bisher auch nicht darum bekümmert, wol aber zu weilen mit Mstr. Fresen gesprochen […] [Risse stammen von Freese]
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Meister Freese (Stein- und Bildhauer Bremen),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1735-05-30,[3.] Kostenvoranschlag für die „Stein Hauer Arbeit zu dem Neu auff zusetzenden Geschoß nach der Jonischen Ordnung […] erforderlich“ durch Frese [und Gercken] für Bremer Börse,"„Auf befehl des Hern Praesidenten, Hrn. Bürgermeister Kohnen und Hrn. Dr. Dysing sind nochmahlen die Unkosten des Boersen Baues in 2 Etagen genend untersuchet und nachgerechnet […] Also verscreiben und verpflichten wir Vns solche Arbeit nach dem Riß voriger Specification und diesem Zusatze vorgesetzte 10000 rt. zu verfertigen bezeugen ingleichen, daß alsdan das Mauerwerck das Gebäude zu tragen auch alles in starcken dauerhafften stande sey. – Bremen d. 30. May 1735“ 
„[…] Art. 9: für alle diese Arbeit gantz rein an der Börse zulieffern und vollig aufzusetzen – 180 Rtl. 
Darunter mit begriffen das fuhrlohn und alles zum auffbringen erforderliche Geräthschafft, auch nöthige Löcher zu hauen. –   
[In Summa]: 1415 Rtl. – 55 gr. 
10. Soll alle Arbeit fertig gelieffert werden bey Straaffe“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Bgm Kohnen, Dr. [Dethard] Dysing",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1735-06-22,Erneute Diskussion über Kosten für Börsenbau im Senat,"„Extract aus dem Wittheits protocoll 1735 d. 22. Junii S. 106      Conclusum, daß da nach dem von Mstr. Herm: ficken Mstr. Theoph: Wilh. Frese und Mstr Vaged gemachten überschlag der proiectirte Bau 10000 rt. sich betragen wird, worzu nach des Weinherrn relation nunmehro, da die Commenthurey 4000 rt bereits darzu hergeschossen, nicht mehr als 6000 rt. erfordert werden […], daß der Börsenbau nach dem von Capitain Warnecke nebst übrigen Meistern gemachten Entwurff anzufangen und fortzusetzen.“ 
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Zimmermeister Herman Ficken,  Bild- und Steinhauermeister Theophilus Wilhelm Frese,  Maurermeister [Johan] Vaged, Rat der Stadt Bremen",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1735-07-01,Beschluss über Teilfinanzierung des Börsenbaus durch Weinkeller,"„[…] wurde beliebt, daß die fehlenden 6000 rt von dem [?] Rhedern aufzunehmen, und demselben von dem Weinkeller zu verzinsen seyen.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse",Rat der Stadt Bremen,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[G] 1736-01-21,Rechnung W. T. Frese für gefertigte Steinhauerarbeit zum „Frontespies über die Risalta“ u.a. für die Bremer Börse,"„Auff Befähl der HochEdlen Herrn des weinkellers als der sälige Herr BürgerMeister Köne und der Herr dockter dising an der Börse gemacht […]
 5 trapen als die 4 hern BürgerMeisters und des hern dockter dising sein iede mit dem stein 4 rtl. – 20 Rtl.
2 festunen[?] hinter die frey stehende Seullen iede 10 rtl. – 20 Rtl.
[…]
16 stücke astrack, so auff die gabe liget wo auff die liste an [?] wovon ich 28 fuß gemacht habe, den fuß 18 gr. – 9 Rtl. – 36 gr.“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Bgm. Köne (+) (Weinherr), Dr. Dising (Weinherr), Rat der Stadt Bremen (Weinherren)(ID #753), Theophilius Wilhelm Freese (Bild- und Steinhauer Bremen)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1736-04-14,Lieferungsvertrag für Steinhauerarbeiten für die Bremer Börse durch Theophilus Wilhelm Frese und Jürgen Gercken,"„Steinhauer Arbeit zu dem Neu auff zu setzenden Geschoß nach der Jonischen Ordnung über der an der börse befindlichen untersten Dorischen Ordnung erforderlich"". Unter dieser Überschrift erfolgt ein ausführlicher Kostenvoranschlag für die einzelnen Steinelemente, wo bei sowohl die Rohformate als auch die daraus entstehenden bearbeiteten Architekturelemente genannt werden, die in den Entwürfen auffindbar sind. In acht Punkten werden Eckpfeiler, Postamente, Fenster verschiedener Größe sowie Fensterkreuze, flache Säulen, Brustwehre, frei stehenden Säulen aufgeführt. Hinzu kommen Angaben zu den Kosten von Transport, Werkzeug etc. Es wird darüber hinaus auch eine Frist genannt, deren Überschreitung mit einer Strafe geahndet werden soll. ""Die Arbeit soll fertig gelieffert werden d. 16. April 1736 [sic! 1737?] bey verlust zweyhundert Rtlr."" Jürgen Gercken und Theophilius Wilhelm Freese beanschlagen für alles zusammen eine Summe von ""Rthld. 1521, 51 1/2 gr""
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Jürgen Gercken (Steinhauermeister Bremen), Theophilius Wilhelm Freese (Bild- und Steinhauermeister Bremen)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1736-04-18,"Dachdeckermeister Dierich Wienckes versichert den Weinherren, dass er bis Michaelis 1736 das neue Schieferdach der Börse eingedeckt haben wird.","Bereiterklärung des Dachdeckermeisterd Dierich Wienckens zur Übernahme der Dachdeckerarbeiten an der Bremer Börse. Er verpflichtet sich dafür einen großen Teil des dafür benötigten Schiefers vom Dach der alten Börse wiederzuverwenden. Er selbst ist für die Anstellung von fähigen Leuten verantwortlich und muss diese aus seinem erhaltenen Vorschuss bezahlen. 
Verknüpfungswunsch: Bremer Börse, Bremen (ID #668)",Dachdeckermeister Dierich Wienckes,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1736-05-14,Henrich Wienges bestätigt den Aufkauf des alten Kupferdaches und die Anlieferung der neuen Platten,"„bescheinige hier mit henrich wienges daß ich habe daß alt kupffere von der börse gekaufft ad 209 [Pfund] und daß neu zu liefern zu 26 gr. zu denen gathen                 Bremen den 14. May 1736 – Henrich wienges“
Verknüpfungswunsch: Bremer Börse, Bremen (ID #668)",Henrich Wienges (Dachdeckermeister Bremen),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1736-07-25,"Beschluss, den Börsenbau komplett aus dem Weinkeller zu finanzieren","„wurde jedoch beliebt, daß die Gelder von dem Weinkeller zu negotiiren seyen“
Verknüpfungswunsch: Bremer Börse, Bremen (ID #668)",Rat der Stadt Bremen (ID #753),,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1737-08-27,W. T. Frese fordert Nachzahlung für die von ihm verfertigten Werksteine und  „einige Zeichnung von der Börse“,"„Specification So wol, waß mir voraus von dem Börse=Bau zukommt, als auch dessen, so mit Geerken zur halbscheid habe:
Die veraccordirte Summa ist dem nach zu vorderst – Rthl. 1521 – 51 ½ gr.
Davon kommt mir voraus zu:
für 29. Platte Capitelle jedes mit dem Stein – 4 Rtl. 36 gr. – Rthl. 130 – 36 gr
für 5 Eck=Capitelle, Stein und Arbeits=Lohn jedes 7 Rthl. 40 2/5 gr. – 37 Rtl. 58 gr.
[…]
Noch so die Wein=Herrn a part bezahlen
Das fronspis – Rthl. 36
5 Wapen jedes mit den Stein 4 Rtl. – 20 Rtl.
Noch 2. Festonnen hinter die freystehenden Seulen jede 10 Rthl. – 20 Rtl.
[Zwischensumme: 76 Rtl.]
Noch ein Schornstein die Listen [= Leisten] aus 10. Stücken Rthl. 10.
Mein theil Astrack 14 stück unter die 29 Pilaster, so die Gathen bedecken und woselbst auch die Schaffte auf stehen, stück 36 gr. – 7 Rtl. – 17 gr.
Summa – Rthl. 953 – 9 11/20 gr.“
Auch habe vor meine Hoch= und Wohl Edl. Herren einige Zeichnung von der Börse machen müssen, wofür bis daher noch nichts bekommen, will demnach solches dero hohen Belieben anheim geben, was mir dafür zuzukehren ist […]
Unterthäniger Diener
Theophilus Wilhelm Freese“
Verknüpfungswunsch: Bremen (ID #668), Bremer Börse","Geerken (Steinhauer Bremen), Theophilius Wilhelm Freese (Stein- und Bildhauermeister Bremen)",,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
[J] 1740-06-27,Gesamtrechnung für den Börsenbau beträgt nur 8423 rt,"„Nach der bey den Acten befindlichen 1740 Juny 27 abgelegten Rechnung betragen sämtliche Kosten jedoch nur 8,423 rt 62 gr.“
Verknüpfungswunsch: Bremer Börse, Bremen (ID #668)",,,StAB,2-P.2.n.6.b.Bb.I.1,unfoliert
