Datum,Titel,Ereignis,Personen,Fundort,Inventarnr/Signatur,Folio,Transkription
[G]15970305,"Brief von Lieven de Key aus Haarlem an Daniel van der Meulen in Leiden, Rechnung für Steinlieferungen für das Privathaus","Zusammen mit diesem Brief übersendet De Key die Rechnung für den an Van der Meulen gelieferten Bausandstein für dessen Privathaus, Rechnung liegt allerdings nicht bei. Darüber hinaus bittet De Key Van der Meulen sich für ihn bei den Herren von Rheinland einzusetzten. Bei der Erstellung eines Entwurfs für dessen neuen Sitz sei es auch auf Grund der Arbeit an Van der Meulens Haus zu Verzögerungen gekommen.","Lieven de Key, Daniel van der Meulen, Herren von Rheinland",ELO,0096 393,11 - 12,
[J]15970327,"Brief Lüder von Bentheims an Rat zu Leiden, Übersendungsvorschlag der Gebrüder Rotvelt","Vorschlag der Entsendung von Albert und Hans Rotvelt als Werkgesellen zum Fassadenaufbau an seiner statt. Zusage, unbehauenen Stein bei der letzten Lieferung des bearbeiteten Materials mitzusenden.","Lüder von Bentheim, Albert Rotvelt, Hans Rotvelt, Rat zu Leiden",ELO,0501A 8661,unfoliert,
[J]15970328,"Brief von Andries van der Meulen an Daniel van der Meulen, Aufbruch der Werkgesellen und Lüder von Bentheims nach Leiden, Beladung von Schiffen mit restlichem Steinmaterial für Rathausfassade","Mitteilung, dass die von Lüder von Bentheim geschickten Werkgesellen für den Rathausbau am folgenden Morgen aufbrechen werden. Von Bentheim selbst wird in ca. drei Wochen nach Leiden reisen, nachdem die restichen Arbeiten in Bremen verladen sind. Dafür hatte der Rat in Leiden zwei Schiffe nach Bremen geschickt. Da die Stadt aber noch einige unbehauene Steine bei Lüder bestellt hat, soll Daniel van der Meulen beim Rat fragen, ob noch weitere Schiffe durch Andries van der Meulen angemietet werden sollen, sodass Ladung vollständig in Leiden ankommt.","Andries van der Meulen, Daniel van der Meulen, Lüder von Bentheim, Rat der Stadt Leiden, Albert und Hans Rotvelt",ELO,0096 593d,53 - 54,
[G]15970331,Quittung des Stadtzimmermanns Joris Andriesz in Leiden für Gerüstbau am Rathaus,Quittung des Lohns für den Gerüstbau am Rathaus an den Stadtzimmermann Joris Andriesz.,Joris Andriesz,ELO,0501A 8661,unfoliert,
[G]15970404,"Brief von Lieven de Key aus Haarlem an Daniel van der Meulen in Leiden, Entwurf für die Herren von Rheinland",De Key berichtet Daniel van der Meulen bezüglich des Steins und des Entwurfs bzw. der Unterredung mit den Herren von Rheinland bezüglich deren neuen Sitz in Leiden.,"Lieven de Key, Daniel van der Meulen, Herren von Rheinland",ELO,0096 393,13 - 14,
[G]15970408,"Eintrag ins Rechnungsbuch, Bezahlung der Reisekosten Lüder von Bentheims",Vergütung des Besuchs von Lüder von Bentheim in Leiden über Abraham Bercewyn.,"Lüder von Bentheim, Abraham Bercewyn",ELO,0501A 7466,507v,
[G]15970408,"Eintrag ins Rechnungsbuch, Bezahlung der letzten Rate und der zusätzlichen Steine an Lüder von Bentheim durch Rat von Leiden",Bezahlung von 1337fl-2st an Lüder von Bentheim. Davon sind 1265fl-2st die Bezahlung der letzten Rate von 550 Rtlr. Hinzu kommen 72fl zur Bezahlung der zusätzlichen 15 Blücke unbehauenen Bückeburger Steins.,"Lüder von Bentheim, Rat und Bürgermeister der Stadt Leiden",ELO,0501A 7466,508r,
[G]15970417,"Brief der Stadt Leiden an Andries van der Meulen in Bremen, Auftrag, nötigenfalls weitere Schiffe für Steintransport anzumieten","Rat der Stadt Leiden bittet um die Anmietung von genügend Schiffen, um alle noch fehlenden Steine für die Rathausfassade nach Leiden zu transportieren.","Andries van der Meulen, Rat und Bürgermeister der Stadt Leiden",ELO,0501A 299,61v - 62r,
[G]15970417,Zahlungsanweisung Jan Houts an den Schatzmeister Andries Jacobsz über Bezahlung der Gebrüder Rotvelt,"Hinweis auf Lohnzahlungen an Gebrüder Rotvelt, den von Lüder von Bentheim gesandten Werkgesellen durch den Schatzmeister von Leiden, Andries Jacobsz. Zahlung beginnt am Tag der Ankunft der Werkleute.","Lüder von Bentheim, Albert Rotvelt, Hans Rotvelt, Andries Jacobsz, Jan Hout",ELO,0501A 8661,unfoliert,
[G]15970424,Quittung über Lohnauszahlung an Albert und Hans Rotvelt,"Erhalt einer Lohnauszahlung von zusammen 88fl - 4st  für Albert und Hans Rotvelt für 42 Tage Arbeit an der Rathausfassade, ausgezahlt vom ""Vestmeester"" Andries Jacobsz.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,unfoliert,
[J]15970428,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Übersendung des restlichen Steins für Rathaus","Bericht, dass Schiffer Borgus Schluter 14 Block unbehauenen Bückeburger Stein und zusätzlich noch behauenes Material für den Rathausbau geladen hat. Bitte an Daniel, dem Rat zu Leiden auszurichten, diesen Schiffer wie die anderen zuvor zu entlohnen.","Andries van der Meulen, Daniel van der Meulen, Borgus Schluter, Rat der Stadt Leiden",StAB,2-p.2.n.6.b.Aa.2,unfoliert,
[J]15970505,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Aufbruch Lüder von Bentheims, Abfahrt dreier Schiffe inklusive Frachtbriefe","Mitteilung, dass Lüder von Bentheim vor vier Tagen aus Bremen abgereist ist. Andries hat drei Schiffe mit den restlichen Steinen beladen lassen, welche nun unterwegs sind. Die Schiffer sind Borgus Schlüter, Franz Jansz de Mey und Cornelis Jansz von Emden. Die Frachtbriefe hat Andries an Daniel gesendet, damit dieser sie der Stadt übergeben kann. Andries hat für insgesamt sieben Schiffe mit Stein für Akziese und Tonnengelt insgesamt 23 Rtlr - 34 3/5gr ausgelegt. Er bittet um Rückzahlung durch die Stadt Leiden für die ersten beiden Schiffe.","Andries van der Meulen, Daniel van der Meulen, Lüder von Bentheim, Borgus Schlüter, Franz Jansz de Mey, Cornelis Jansz, Rat der Stadt Leiden",ELO,0096 593d,74 - 76,
Empf. [G]15970508,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Bestätigung des Rates, Schiffe für restliche Steinladung anzumieten","Mitteilung über den Erhalt des Briefes des Rates von Leiden, dass Andries van der Meulen so viele Schiffe wie nötig anmieten soll, um die restlichen Steine gut und sicher nach Leiden zu bringen.","Andries van der Meulen, Daniel van der Meulen, Rat der Stadt Leiden",ELO,0096 593d,67 - 68,
[G]1597,Eintrag ins Rechnungsbuch zur Grundsteinlegung der Rathaustreppe,"Ausgaben für die Grundsteinlegung der Rathaustreppe, durchgeführt von Jan Jansz van Baecsdorp.","Bürgermeister der Stadt Leiden, Jan Jansz van Beacsdorp",ELO,0501A 7466,unfoliert,
[G]15970517,Quittung über die Bezahlung des Schiffers Borgus Schluter durch Bürgermeister von Leiden,Bezahlung von 90fl an den Schiffer Borgus Schluter aus Bremen für eine Fracht Steine durch den Leidener Rat. Die Steine sind nach Überprüfung durch Claes Cornelisz unbeschädigt angekommen.,"Bürgermeister und Rat der Stadt Leiden, Isaack Claesz, Borgus Schluter, Claes Cornelisz",StAB,2-p.2.n.6.b.Aa.2,31,
[G]15970522,"Rechnungsbeilage, Bezahlung der Schiffer Franz Jansz de Mey und Cornelis Jansz aus Emden durch Bürgermeister von Leiden","Bezahlung von Franz Jansz de Mey und Cornelis Jansz aus Emden durch die Bürgermeister von Leiden. Die Schiffer erhalten zusammen eine Summe von 180fl. Hinzu kommen noch 5fl-17st für Umkosten. Erwähnung der Bezahlung von zwei weiteren Schiffern, Borgus Schlüter und Frederick Claesz.","Bürgermeister von Leiden: Claes Adriaensz, Isaak Claesz, Franz Jansz de Mey, Cornelis Jansz, Frederick Claesz, Borgus Schluter",StAB,2-p.2.n.6.b.Aa.2,32,
[G]15970524,"Rechnungsbeilage, Bezahlung Lüder von Bentheims durch Bürermeister von Leiden für letzte Rate und zusätzliche Steinlieferung","Bezahlung der vierten Rate nach Vertrag vom 07-06-1595 an Lüder von Bentheim. Für die zusätzliche Lieferung von 15 Stück unbehauenen Stein erhält er 72fl-2st, die im Brief vom 05-03-1597 bestellt wurden. Hinweise auf Preis pro Kubikfuß, Gesamtsumme 1337fl-2st.","Lüder von Bentheim, Bürgermeister der Stadt Leiden, Claes Adriaensz, Isaak Claesz",StAB,2-p.2.n.6.b.Aa.2,34 - 36,
[G]15970526,"Rechnungsbeilage, Schreiben von Jan van Hout, Aufhebung der Verpfändung von Bentheims Haus in Bremen","Schreiben des Stadtsekretär Jan van Hout zur Aufhebung der Verpfändung von Lüder von Bentheims Haus in Bremen, dass als Sicherheit für die Steinlieferung eingesetzt wurde. Verpfändung an die Stadt Bremen am 17. September 1595.","Jan van Hout, Lüder von Bentheim, Rat und Bürgermeister der Stadt Leiden, Rat und Bürgermeister von Bremen",ELO,0501A 7821,unfoliert,
[J]15970526,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Aufrechterhaltung der Bürgschaft Daniels für Lüder von Bentheim, bis alle Steine da sind","Lüder von Bentheim sollte einen Brief von Daniel van der Meulen mit nach Bremen bringen, Andries hat aber noch nichts gehört. Daniel van der Meulen tritt scheinbar als Bürge für die restliche Liefrung des Steins von Lüder von Bentheim auf. Die Bezahlung an Lüder von Bentheim über 1397fl-2st kann Andries van der Meulen auf Daniels Anordnung hin durchführen.","Andries van der Meulen, Daniel van der Meulen, Lüder von Bentheim",ELO,0096 593d,88 - 89,
[G]15970526,"Rechnungsbeilage, Bezahlung der Reisekosten Lüder von Bentheims nach Leiden durch Bürgermeister von Leiden",Bezahlung von 60 Gulden an Lüder von Bentheim für seine Reisekosten nach und seine Aufenthaltskosten in Leiden.,"Bürgermeister von Leiden: Claes Adriaensz, Isaak Claesz, Lüder von Bentheim",StAB,2-p.2.n.6.b.Aa.2,33,
[G]15970527,"Rechnungsbeilage, Bestätigung der Vertragsauflösung zwischen Lüder von Bentheim und der Stadt Leiden",Bestätigung der Vertragserfüllung und dessen Auflösung durch Lüder von Bentheim. Für die letzten noch zu liefernden Elemente tritt Daniel van der Meulen als Bürge auf und ist ebenfalls Unterzeichner.,"Lüder von Bentheim, Daniel van der Meulen, [??] van Merven, [??]",StAB,2-p.2.n.6.b.Aa.2,36,
[G]15970531,"Rechnungsbeilage, Quittungen des Veestmeesters, Bezahlung von Albert und Hans Rotvelt",Quittung  Albert und Hans Rotvelts über den Erhalt ihres Lohns von Andries Jacobsz für die Arbeit an der Leidener Rathausfassade über 6fl bzw. 4fl 10st.,"Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,unfoliert,
[J]15970609,"Brief von Andries van der Meulen aus Bremen an Daniel van der Meulen in Leiden, Bezahlung von Lüder von Bentheim über Hendrick Raetken",Geldwechsel für die Bezahlung von Lüder von Bentheim über Hendrick Raetken. Daniel van der Meulen soll die 1397fl-2st an Dirck Weduwer geben.,"Andries van der Meulen, Daniel van der Meulen, Lüder von Bentheim, Henrick Raetken/Raethen, Dirck Weduwer",ELO,0096 593d,90 - 91,
[G]15970614,"Rechnungsbeilage, Quittungen des Veestmeesters, Bezahlung der Gebrüder Rotvelt ","Quittung über die Bezahlung Albert und Hans Rotvelts für 12 Tage Arbeit: Albert Rotvelt: 14fl-8st, Hans Rotvelt: 10fl-16st.","Albert Rotvelt, Hans Rotvelt,  Andries Jacobsz",ELO,0501A 8661,231,
[G]15970614,"Rechnungsbeilage, Quittungen des Veestmeesters, Bezahlung Claes Cornelisz und Harmen Claesz","Quittung über die Bezahlung für die Arbeit am Rathaus von Claes Cornelisz und Harmen Claesz, sie erhalten für 5 Tage zusammen 7fl-14st.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,232,
[G]15970621,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz für Arbeiten am Rathaus, zusammen erhalten sie 8fl-14st.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,233,
[G]15970621,"Rechnungsbeilage, Quittungen des Veestmeesters, Ausgaben Albert Rotvelt für Rathausbau","Quittung über die Ausgaben Albert Rotvelts für Arbeiten am Rathaus, u.a. Steinzement, Besen etc., 2fl-5st.","Albert Rotvelt, Andries Jacobsz",ELO,0501A 8661,235,
[G]15970621,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Albert und Hans Rotvelt","Lohnauszahlung durch Andries Jacobsz an Albert und Hans Rotvelt für Arbeiten am Rathaus, zusammen erhalten sie 12fl-12st.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,236,
[G]15970628,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Albert und Hans Rotvelt","Lohnauszahlung durch Andries Jacobsz an Albert und Hans Rotvelt für Arbeiten am Rathaus, zusammen erhalten sie 12fl-12st.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661 ,234,
[G]15970628,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz für Arbeiten am Rathaus, zusammen erhalten sie 8fl-14st.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,237,
[G]15970705,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohn an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz für Arbeiten am Rathaus, zusammen erhalten sie 7fl-5st.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,238,
[G]15970705,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an Albert und Hans Rotvelt für Arbeiten am Rathaus, zusammen erhalten sie 10fl-10st.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,239,
[G]15970705,"Rechnungsbeilage, Quittungen des Veestmeesters, Bezahlung für Zement an Albert Rotvelt",Quittung über eine Zahlung von 28Stv-8pf an Albert Rotvelt für Zement durch Andries Jacobsz.,"Albert Rotvelt, Andries Jacobsz",ELO,0501A 8661,240,
[G]15970712,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,241,
[G]15970712,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz für Arbeiten am Rathaus, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,242,
[G]15970719,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz für Arbeiten am Rathaus, zusammen 7fl-19Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,243,
[G]15970719,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 11fl-11Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,244,
[G]15970726,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,245,
[G]15970726,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,246,
[G]15970802,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 13fl-7Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,247,
[G]15970802,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohanauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,248,
[G]15970809,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,249,
[G]15970809,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,250,
[G]15970816,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,251,
[G]15970823,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,252,
[G]15970823,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 24fl-24Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,253,
[G]15970830,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an Gebrüder Rotvelt, zusammen 12fl-12Stv","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO ,0501A 8661,254,
[G]15970830,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO ,0501A 8661,255,
[G]15970902,Brief von Lieven de Key aus Haarlem an Daniel van der Meulen in Leiden bezüglich dessen Privathaus,"De Key entschuldigt sich für sein Fernbleiben, er sollte eigentlich nach Leiden kommen, um Probleme am Haus von Daniel zu klären. Nicolas Mapaert ist derzeit in Leiden.","Lieven de Key, Daniel van der Meulen, Nicolas Malpaert",ELO,0096 393,15 - 16,
[G]15970906,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,256,
[G]15970906,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,257,
[G]15970913,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO ,0501A 8661,258,
[G]15970913,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz","Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv.","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO ,0501A 8661,259,
[G]15970920,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Gebrüder Rotvelt","Lohnauszahlung durch Andries Jacobsz an die Gebrüder Rotvelt, zusammen 12fl-12Stv.","Albert Rotvelt, Hans Rotvelt, Andries Jacobsz",ELO,0501A 8661,260,
[G]15970920,"Rechnungsbeilage, Quittungen des Veestmeesters, Lohnauszahlung an Claes Cornelisz und Harmen Claesz",".Lohnauszahlung durch Andries Jacobsz an Claes Cornelisz und Harmen Claesz, zusammen 8fl-14Stv","Claes Cornelisz, Harmen Claesz, Andries Jacobsz",ELO,0501A 8661,261,
