Datum,Titel,Kommentar,Personen,Literatur,Archiv,Signatur/Inventarnr,Folierung
[J] 1562-03-17 ,Bezahlung von Cornelius de Vos durch Peter de Hase für das Löschen von Bremer Stein,"Es wird aufgelistet, welches Geld die Löscher, Transporteure und Kranführer erhalten. Die Gesamtrechnung beträgt ""Eleven gulden en twee stuvers..."" Insgesamt wurden 26 Block Stein gelöscht.
Brabanter Stil (Jahreswechsel an Ostern, deshalb im Original: 1561)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos (Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Jan de Cantmetere, Peet van Parys",,BE SA ,PK#2197,199r
[J] 1562-04-08 ,Bezahlung von Jan de Hase durch Peter de Hase für die Lieferung von Bückeberger Stein durch Anthonis van Seron,"Jan de Hase nimmt für Anthonis von Seron eine Summe von ""sesse hondert carolus guldenen"" entgegen, die dieser für die Lieferung von Bückeberger Stein erhalten soll.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jan de Hase (Steinhauer in Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,PK#2197,202v-203r
[J] 1562-04-30 ,Bezahlung von Jan de Hase durch Peter de Hase für Bückeburger Stein geliefert von Anthonis van Seron,"Jan de Hase nimmt für Anthonis von Seron eine Summe von ""tweelve hondert carolus gulden"" an, welche dieser für die Lieferung von Bückeberger Stein erhalten soll.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jan de Hase (Steinhauer Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,PK#2197,203r
[J] 1562-05-16 ,Bezahlung von Jan de Hase durch Peter de Hase für die Begutachtung van marberen steen,"Jan de Hase beschaut Belgischen Marmor für den Rathausbau in Dinant. Er erhält dafür ""twientzeventich carolus guldn""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669), Dinant; Rathaus Antwerpen","Jan de Hase (Steinhauer Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen)-> Brüder",,BE SA ,PK#2197,211v
[J] 1562-05-24 ,Bezahlung von Cornelis de Vos durch Peter de Hase für das Löschen von Bremer Stein,"Cornelis de Vos listet die verschiedenen Posten für das Löschen von ""Bremer Steen"" auf. Dabei wird die Benutzung des Krans, das Entladen der Schiffe sowie das Beladen von Wagen für den Transport in die ""nyeuw stadt"" und von dort ""opde merckt"" bezahlt. Die Gesamtsumme beträgt ""vierentnegentich carolus zsthiene ende eene halven stuvers""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Landmetere, Symon de Backere",,BE SA ,PK#2197,209r-v
[J] 1562-05-26,Schreiben des Herzogs Erich von Braunschweig-Lüneburg aus Münden an den Rat zu Antwerpen bezüglich möglicher Steinlieferungen aus den Brüchen bei Hameln,"Herzog Erich von Braunschweig-Lüneburg weist darauf hin, dass der Antwerpener Rat nicht ohne weiteres Stein aus den Brüchen bei Hameln von ""Meister Jacoben"" kaufen könne, da der Herzog selbst Stein für seine Gebäude benötige. Er erklärt sich aber bereit, mit einem Gesandten Antwerpens in Braunschweig-Lüneburg über mögliche Steinlieferungen zu verhandeln. Falls man sich einig wird, soll der bereits gebrochene Stein abgeschifft und weiterer Stein für Antwerpen gebrochen werden.
Verknüpfungswunsch: Münden, Antwerpen (ID #669), Hameln; Rathaus Antwerpen","Herzog Erich zu Braunschweig und Lüneburg, Meister Jacob (Steinbrecher/-hauer bei Hameln), Schepen und Rat von Antwerpen",,BE SA ,PK#314,unfoliert
[J] 1562-07-11 ,Bezahlung von Cornelis de Vos für das Löschen von Bremer bzw. Bückeberger Stein,"Cornelis de Vos listet die verschiedenen Posten für das Löschen von ""Bremer Steen"" auf. Dabei wird die Benutzung des Krans, das Entladen der Schiffe sowie das Beladen von Wagen für den Transport bezahlt. Für den Wagentransport werden auch ""matten en stroo"" abgerechnet. Insgesamt werden 28 ""voeder steens"" gelöscht. Die Gesamtsumme beträgt ""negen guld vyfthiene stuvers.""
Brabanter Stil
Vernknüpfungswunsch: Antwerpen (ID #669) ; Rathaus Antwerpen","Cornelis de Vos, Jan de Hase (Steinhauer Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,PK#2197,218r-v
[J] 1562-07-31 ,Bezahlung Jan de Hases durch Peter de Hase für Lieferung von Bückeberger Stein zusammen mit Anthonis van Seron,"Jan de Hase erhält eine Summe von ""tweelve hondert carolus guldn"" für die Bezahlung von Anhonis von Seron, welcher den ""buckeberchsschen steen"" liefert.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669), Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA  ,PK#2197,214r
[J] 1562-07-31 ,Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein,"Cornelis de Vos listet die verschiedenen Posten für das Löschen und Transportieren von ""Breemschen steen"" auf. Der Landtransport führt von der ""nyeuwe stadt"" zur ""logie opte merckt"". Hinzu kommt die Bezahlung der Krannutzung. Es werden insgesamt ""dertich voeder steens"" gelöscht. Die Gesamtsumme beträgt ""sessentzeventich carolus guld vier stuvers"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Jan de Hase (Steinhauer Antwerpen), Jan de Lantmetere, Jaspar Boons, Symon de Backere, Peter de Hase (Finanzverwalter Rathausbau Antwerpen)",,BE SA ,PK#2197,222v-223r
[J] 1562-08-29 ,Bezahlung von Cornelis de Vos durch Peter de Hase für das Löschen von Bremer Stein,"Cornelis de Vos macht genaue Angaben zu den verschiedenen Kosten für das Löschen und Transportieren von ""breemschen steen"". Bezahlt werden sowohl das Löschen, die Krannutzung, der Einsatz von Fuhrwerken und das Auf- und Endladen derselben. Der Weg der Steine führt wieder über die ""nyeuwe stad"" ""opte merckte oft Loge"". Die Gesamtsumme beträgt ""XXX guld XIIII st.""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Jan de Hase (Steinhauer Antwerpen), Hendrick Joos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen)",,BE SA  ,PK#2197,226v-227r
[J] 1562-09-05 ,Bezahlung Jan de Hase und Anthonis de Seron durch Peter de Hase für Lieferung von Bückeberger Stein,"Jan de Hase erhält  als Vertreter von Anthonis van Seron für die Lieferung von ""buckeberchsschen steen"" ""tweelue hondert carlolus gulden.""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA  ,"PK#2197 (katern 6, S. 5)",234r
[J] 1562-10-10 ,Bezahlung von Jan de Hase durch Peter de Hase für Anthonis de Seron für die Lieferung von  Bückeberger Stein,"Jan de Hase bekommt auch für Anthonis de Seron eine Summe von ""vierhondert carolus guldenen"" für die Lieferung von Bückeberger Stein ausgezahlt.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 6, S. 9)",237v
[J] 1562-10-17 ,Bezahlung von Jan de Hase und Anthonis van Seron für Lieferung  von Bückeberger Stein,"Es wird für die Lieferung von Bückeberger Stein an Jan de Hase und Anthonis von Seron eine Summe von ""drijhondert carolus guldenen"" ausgezahlt.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA,"PK#2197 (Katern 6, S. 10)",238r
[J] 1562-10-17 ,Bezahlung des Löschens von u.a. Bremer Stein durch Cornelis de Vos durch Peter de Hase,"Cornelis de Vos stellt seine Arbeit für das Löschen von Limburger, Bremer und Namurer und ""Schonscenis"" Stein zwischen 15620627 und 15621010 in Rechnung. Er erhält ""Sesthiene carolus guld"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Rathausbau-Kommitte des Antwerpener Rats",,BE SA,"PK#2197 (Katern 6, S. 13)",241v
[J] 1562-10-17 ,"Spezifikation und Bezahlung bezüglich des Löschens von Bremer Stein durch Cornelis de Vos, gezahlt durch Peter de Hase","Cornelis de Vos erhält für das Löschen von ""cemerschen[?] Buckenberchssen steen"" eine Gesamtsumme von ""I c guld XIII 1/2 st"". Es werden insgesamt 9 Fuder Stein gelöscht und die einzelnen Posten für Löschen, Krannutzung, Transport auf den Markt etc. aufgeführt.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Landmetere, Jan de Haze (Steinhauer)",,BE SA ,"PK#2197 (Katern 6, S. 13-14)",242r-243r
[J] 1562-11-21 ,Bezahlung Jan de Hase und Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase bekommt für Anthonis von Seron eine Summe von ""drije hondert Carolus guld"" ausgezahlt, welche dieser für die Steinlieferung vom Bückeberg erhalten soll.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 6, S. 18-19)",247r-248r
[J] 1562-11-21 ,Löschen von Bremer Stein durch Cornelis de Vos,"Cornelis de Vos listet die unterschiedlichen Posten für das Löschen und den Transport von ""breemschen steene"", welcher von Jan de Haze geliefert wurde, auf. Dabei werden die Kosten der Krannutzung genannt, die Beladung der Fuhrwerke durch die Steinhauer, die Fahrten vom Kran zum Markt. Es erfolgt auch ein Transport von Stein aus der Neustadt zum Markt. Es wurden 17 Fuder Stein gelöscht und zum Bestimmungsort gefahren.  Zusätzlich kamen noch einmal 20 Fuder hinzu. Die Gesamtsumme beträgt ""vierenvertich carolus guld twee ende eenen haluen stuuers.""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 6, S. 22-23)",251r-252r
[J] 1563-04-10 ,Spezifikation und Bezahlung des Löschens Bremer Steins und Bezahlung an Cornelis de Vos,"Cornelis de Vos stellt eine Rechnung über das Löschen und Überführen des durch ""Jan de haze"" gelieferten ""breemschen steene"" auf. Gelöscht wurden mehr als 3 Schiffe, so dass zusammen über 100 Fuder entladen und verbracht wurden. Die Gesamtsumme beträgt ""seuenentzeuentich carolus guld seuen ende eenen haluen stuuers."" 
Brabanter Stil (=1563, Jahreswechsel Ostern)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197, (Katern 7, S. 13-14)",289r-290r
[J] 1563-05-08 ,Bezahlung Jan de Haze und Anthonis de Seron für Bückeburger Stein,"Jan de Haze erhält für die Bezahlung von Anthonis von Seron und dessen Lieferung von Bückeberger Stein eine Summe von ""drie hondert carolus guld""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 7, S. 21)",296v-297r
[J] 1563-05-18 ,Messung von Bentheimer Stein für das Rathaus in Antwerpen durch Franchois de Drynere,"Der Steinmesser Franchois de Drynere misst 74 Stück ""bentems steen"", welche von unterschiedlichen Lieferanten für das neue Rathaus von Antwerpen geliefert wurden.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Franchois de Drynere (Steinmesser Antwerpen), Cornelis Symonss, Aeranen Huygen (Schiffer zu Antwerpen)",,BE SA ,PK#2197,323r
[J] 1563-05-24,Schreiben des Grafen Otto von Holstein-Schaumburg an Rat von Antwerpen bezüglich Bewilligung des Transportes von Bückeberger Stein an die Weser,"Stein und Werkstücke sollen durch Leute des Grafen an das Weserufer gebracht werden, von dort wird der weitere Transport durch Anthonis de Seron abgewickelt
Verknüpfungswunsch: Antwerpen (ID #669), Rinteln (ID #748); Rathaus Antwerpen","Otto zu Holstein-Schaumburg, Peter de Hase (Finanzverwalter Rathausneubau Antwerpen), Rat von Antwerpen, Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,NLA Bü ,L 1 Nr. 6913,12r-v
[J] 1563-05-27,Messung von Bentheimer Stein für das Rathaus in Antwerpen durch Franchois de Drynere,"Der Steinmesser Franchois de Drynere misst 73 Stück ""bentems steen""
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Franchois de Drynere (Steinmesser Antwerpen), Aeranen Huygen (Schiffer aus Antwerpen)",,BE SA ,PK#2197,323r
[J] 1563-06-04 ,Messung von Bentheimer Stein für das Rathaus in Antwerpen durch Franchois de Drynere,"Der Steinmesser Franchois de Drynere misst 58 Stück ""bentems steen"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Franchois de Drynere (Steinmesser Antwerpen), Hendrick Lix",,BE SA ,PK#2197,323r
[J] 1563-06-12,Bezahlung für Bremer Stein an Jan de Hase und Anthonis de Seron durch Peter de Hase,"Jan de Hase erhält die Bezahlung für sich und Anthonis von Seron für die Lieferung von Bückeberger Stein. Die Summe beträgt ""hondert carolus guld"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 7, S. 24)",300r
[J] 1563-06-26,Peter de Hase entnimmt selbst Geld aus der Kasse für seine Reise von Antwerpen nach Schaumburg und zurück,"Spezifikation dieser Reise liegt ebenfalls vor, Gecommitteerde bestätigen diese Geldentnahme am [J] 1563 11 19. Die Reise kostete insgesamt ""I c XXIIII gulden XIIII st."" Peter de Hase reiste über Pferdemarkt (Antwerpen), Ouden bosch, Utrecht, Deventer, Zwolle, ""nijuwhuisen"", Lingen, Haseluide, cloppenborch, Wildeshausen, Bremen, Minden, Bückeburg, Schaumburg, Stadthagen, Rinteln, Obernkirchen, Bremen, ""Helnerhorst op Welshuysen"", Lyhen, Campen, Zwolle, Amsterdam, Ouden Bossch, Antwerpen.""
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669), Ouden Bosch, Utrecht (ID #670), Deventer, Zwolle (ID #5726), Neuenhaus, Lingen, Haselünne, Cloppenburg, Wildeshausen, Bremen (ID #668), Minden (ID #1297), Bückeburg (ID #747), Schaumburg, Stadthagen, Rinteln (ID#748), Obernkirchen (ID#745), Delmenhorst, Campen, Amsterdam (ID #744); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Amtmann von Bückeburg, Amtmann von Schaumburg, Kanzler des Grafen zu Holstein-Schaumburg (Stadthagen), Graf Otto zu Holstein-Schaumburg (Rinteln), Colyn Mido ",,BE SA ,"PK#2197 (Katern 11, S. 28 – 30)",486r-487v
[J] 1563-07-03,Spezifikation Cornelis de Vos und Bezahlung Cornelis de Vos für das Löschen von Bremer Stein durch Peter de Hase,"Cornelis de Vos listet die Posten für das Löschen und Transportieren von ""breemschen steenen"" auf. Darunter fallen Krannutzungsgebühren, Fuhrwerknutzung, -beladung und -entladung. Gesamtsumme: ""vierentveertich carolus guld ende sesse stuvers"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen
","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 7, S. 27-28)",303r-v
[J] 1563-07-03,Spezifikation von Cornelis de Vos und dessen Bezahlung für das Löschen von „bentems steen“ durch Peter de Hase,"Cornelis de Vos stellt eine Rechnung über das Löschen von ""bentems steen"" auf. Krangebühren, Fuhrwerke, etc. Es werden mindestens drei Schiffe Bentheimer Stein ""met ter wippen"" abgeladen. Gesamtsumme ""Sevenenvyftich carolus gulden ende [?] stuvers"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 7, S. 28-29)",303v-305r
[J] 1563-07-17,Bezahlung von Jan de Hase und Anthonis von Seron für die Lieferung von Bückeburger Stein durch Peter de Hase,"Jan de Hase bekommt für sich und Anthonis van Seron eine Summe von ""negen hondert carolus gulden"" für die Lieferung von Bückeberger Stein ausgezahlt.
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 7, S. 39-40)",315r-316r
[J] 1563-08-21 ,Spezifikation von Cornelis de Vos und dessen Bezahlung für das Löschen von Bremer Stein durch Peter de Hase,"Rechnungsaufstellung für das Löschen und Transportieren von Bremer Stein durch Cornelis de Vos im Juli/August. Aufzählung der einzelnen Posten wie Krangeld, Fuhrwagen etc.; Geliefert wurde der Stein auf dem Schiff von Jan Syrnuvsen aus Amsterdam. Es werden extra große Steine geliefert, die nur mit drei Pferden am Kran gelöscht werden können. Geliefert auf cornelis Geertsen Schiff. Hinzu kommen 40 Fuder Bremer Stein. Die Gesamtsumme beträgt ""drientzeventich carolus guldn sesse stuvers eenen halven [?]"".
Brabanter Stil
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Cornelis de Vos, Schiffer Jan Syr[?]sen (Amsterdam), Jan de Lantmetere, Schiffer Cornelis Geertsen, Schiffer Jan van Aenslaen",,BE SA ,"PK#2197 (Katern 7, S. 46-47)",321v-323r
[J] 1563-08-31,Schreiben des Bremer Senats an den Amtmann von Schaumburg betreffend eines Konflikts zwischen Anthonis van Seron und Bremer Steinhändler Hinreck Lifflanders,"Protest gegen Beschlagnahme von Steinen des Hinreck Lifflanders im Schaumburger Gebiet, obwohl diesem von Anthonis van Seron und Nicolaus Mido die vorbestellten Wagen für die Steinabfuhr aus dem Bruch „gestohlen“ wurden, mit dem Hinweis auf die alleinigen Abbaurechte. Hinweis auf einen Vertrag zwischen den Bremer Steinhauern und Anthonis van Seron, dem dieses Verhalten zuwider läuft.
Verknüpfungswunsch: Schaumburg, Bremen (ID #668)","Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen), Hinreck Lifflander, Nikolaus Mido, Albert Hesselenn",,StAB,2-S.2.v.10.a ,unfoliert
