Datum,Titel,Ereignis,Personen,Literatur,Archiv,Sig./Inv.,Folierung
[G] 1650-05-05,Schreiben des Amsterdamer Stadtsekretärs Gerard Hulft an Rat der Stadt Bremen bezüglich der Entsendung Amsterdamer Schiffer nach Bremen,"Notifikation des Bremer Rates durch den Amsterdamer Stadtsekretär Gerard Hulft darüber, dass die Stadt Amsterdam zur Abschiffung des für den Rathausbau benötigten Steins den Schiffer Jouwe Vockerts nach Bremen schicken wird. Bitte, diesen nicht zu behindern und Hinweis auf ähnliche Konditionen für Bremen
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #919; Schiffer Jouwe Vockerts aus Amsterdam; ID #753,,StAB ,2-R.8.a Stapelrecht,unfoliert
[G] 1651-05-11,Aufstellung zweier Listen mit Lieferwünschen von Bentheimer Sandstein an Hendrik Spiering oder seine Witwe,"„Eén lijst noemt 1251 blokken steen volgens gespecificeerde maten die oor 18 stuiver per voet geleverd dienden te worden, de andere 703 blokken á 21 stuivers.“ Es wird, so V., nach konkreten Bauelementen gefragt: „dat in 1651 gevraagd werd om (delen van) pilasters, ‚quarten‘, ‚hoecken‘ en ‚drumpels‘.“ Die Aufstellung ist sehr detailliert und enthält auch Angaben zu den verschiedenen Maßen.
Verknüpfungswunsch:
ID #744; ID #1183; Grafschaft Bentheim",ID #639; ID #918; ID #758,"ID #396, S. 127",SAA ,5039 Inv. 2,unfoliert
[G] 1651-05-12,"Schreiben der Stadt Amsterdam (Gerard Hulft) an Rat von Bremen bezüglich Steine für das neue Amsterdamer Rathaus, gekauft bei Hendrick Klugkist Junior","Bezüglich der Bestellung von Sandstein bei dem Bremer Bürger Hendrick Klugkist junior bittet der Amsterdamer Rat den Rat der Stadt Bremen darum, auch bei dieser Lieferung Abgabefreiheit zu gewähren und Klugkist beim Abladen der Steine behilflich zu sein.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #580; ID #919; ID #753,,StAB ,2-W.9.d.1 Bd. 6 ,unfoliert
[G] 1652-03-04,Vertrag zwischen Bürgermeistern und Tresaurier Amsterdam mit der Bentheimer Steinhandelskompagnie Spiering und Co,"Bezugnahme auf einen vorherigen Abschluss am 28. Februar 1651, Angaben von Maßen für einzelne Sandsteinelemente; darüber hinaus finden sich neue Preisangaben pro Fuß, die sich auf die Maße der Blöcke beziehen. Z.T. lassen sich auch Hinweise auf die spätere Funktion der Steine herauslesen. z.B.: „De stucken, boven de 60 voeten uytmaeckende, als die de feston, ende simatie volgens voorgaende order, syn [ge?]broocken, sullen ontfangen werden tot 30 stuyver...“ Darüber hinaus werden mehrere unterschiedliche Listen angesprochen.
Verknüpfungswunsch:
ID #744; ID #1183; Grafschaft Bentheim","B. van den Broeck (Vertreter des Teilhabers Christian van den Broeck an der Bentheimer Stein Handelskompagnie), Cornelia Bougres/Bouwers (Witwe von Henderick Spiering, Teilhaber an der Bentheimer Stein Handelskompagnie); ID #918; ID #758",,SAA ,5039 Inv. 2,unfoliert
[G] 1653-01-01,Übereinkunft zwischen Stadtsekretär und Gerret Holwel van Bremen über die Lieferung von [ ? ] Schiffen Bremer Stein,"Mit Liste, Bezug auf Ausführung am [G] 1653-10-06
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #552,,SAA ,5039 Inv. 1,153v
[G] 1653-02-18 ,Übergabe der Bestellliste und Vereinbarung über Bezahlung von Hendrick Klugkist durch den Amsterdamer Rat für die bei ihm bestellten Steine,"Hinweis auf mehrere Listen mit Stein, eine wurde Klugkist vom Amsterdamer Rat am 1653-02-15 übergeben. Darüber hinaus werden in neun Paragraphen detaillierte Angaben zum Zeitpunkt der Bezahlung, zu den Bedingungen der Lieferung (Beifügung einer Rechnung mit Sortierung der Steine nach der Liste), Strafgebühr bei fehlerhafter Rechnung, Berechnung des Preises über die Maße, wobei der Amsterdamer Fuß a 10 Daumen das Ausgangsmaß sein soll, Preis pro Kubikfuß Stein wird ebenso festgelegt (20 ½  stv. bzw. 24 ½ stv. pro Fuß). Paragraph 7 regelt Zollfreiheit für Klugkist in Bremen und Oldenburg „De E: Heeren Thresaurieren sullen Klugkist bevryden voorde tolle welcke de Stadt Bremen en de Graeff van Oldenburch opde steen soude mogen hebben ende de steen welcke mt de Schepen door ongeluck sal comen te blyven tot haren last nemen.“ Paragraph 8 regelt Art der Bezahlung entweder über Amsterdamer Wechselbank oder in Bargeld. Abschließend folgt in Pargraph 9 die detaillierte Bestellliste mit Zuordnung zu späteren Architekturelementen.
Verknüpfungswunsch:
ID #744; ID #1183",ID #580; ID #918,,SAA,5039 Inv. 1,152r-v
[G] 1653-10-06 ,Übereinkunft zwischen Amsterdamer Stadtsekretär und Gerret Holwel van Bremen über die Lieferung von mehreren Schiffen Bremer Stein ," Unter Bezugnahme auf Übereinkunft vom 1653 01 01 [G] wird auf den Abschluss eines Liefervertrags zwischen der Stadt Amsterdam und Gerret Holwel aus Bremen hingewiesen. Holwel soll mehrere Schiffe mit „Bremer steen, vry aende Kraen“ liefern und erhält pro Kubickfuß 18 ½ stv. Eine Liste mit 156 Stück Stein und deren Maßen ist beigefügt.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #552,,SAA ,5039 Inv. 1,153v
[G] 1653-02-14 – 1654-01-14 ,Abrechnung der Steinlieferung von Hendrick Klugkist für das Jahr 1653 bis Januar 1654,"Abrechnung der Steinlieferungen des Jahres 1653 durch Hendrick Klugkist aus Bremen. Zahlungen an diesen und an diverse Schiffer (Frachtlohn)
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #571; ID #580;  Reyndert Lubbertsen (Schiffer), derick Pauer van Geeldhays (Schiffer), Lutgen Hendrickss (Schiffer), claes Thomassen (Schiffer), Schipper Jan Husteel, direck Minneman (Schiffer), direck Cornelis (Schiffer), albert Stoer (Schiffer), Jan apendorp (Schiffer), Doncke Donket (Schiffer), albert Hermanns (Schiffer), Voehert [Glaess?] (Schiffer), Gathe Loocleen (Schiffer), [Jerman?] Simons (Schiffer), Warent Jantpoort (Schiffer), Donwe volaers (Schiffer), Tidde Hermans (Schiffer), [ ? ]eba, donck Wemmers (Schiffer), Anse Arwel (Schiffer), Twe pieter van[ Woerm?] (Schiffer), taecke Jannis (Schiffer), Lambert Hestlman (Schiffer), schipper Hoestenby bet, Jacob Coten (Schiffer), Jan Gilgerlo (Schiffer), Marten Martens (Schiffer), Jendrich Muller (Schiffer), Willem Wos (Schiffer), [Ycse?] harmans (Schiffer), patte Obbes (Schiffer), [doutve? Eelhes?] (Schiffer), Schipper Willem Tiebbes, schipper Remmert vossens, Jan Jans van Groinningen (Schiffer), Jan Jacobs van Harlingen (Schiffer), pieter Tiechs (Schiffer), schipper [minne?] minnes, schipper Ji[?] helles,  schipper Obbe Heijttis, schipper Roeloff Hesselman, Volchart Wolkers (Schiffer), schipper Jan Wilkes, schipper Simon Jacobs, schipper Take homes, Rievert Riewerts (Schiffer), schipper Jan Jacobs",,SAA ,5039 Inv. 256,12v-13r
[G] 1654-02-12 – 1654-12-01,Gesamtabrechnung der Steinlieferungen durch Hendrick Klugkist aus Bremen des Jahres 1654,"Abrechnung der Steinlieferungen des Jahres 1654 durch Hendrick Klugkist aus Bremen. Zahlungen hauptsächlich an diverse Schiffer (Frachtlohn), Hinweis auf die bisher an Klugkist gezahlte Summe für Sandstein (fl105716-1st-10gr)
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #571; ID #580; Meynert [Hauckts?] (Schiffer), Touwen Touwents (Schiffer), Jelle Abbes (Schiffer), schipper Jan florentr, dirck pouwelts (Schiffer), Jan Hutteds (Schiffer), Jan Rychelts (Schiffer), Minns Minnets (Schiffer), Joost Sluyter (Schiffer), Bendrick Lindeman (Schiffer), Ambrosius [Tagtt?] (Schiffer), [Goosn?] Luttens (Schiffer), Pieter Siphens (Schiffer), Vroobhe Joannes (Schiffer), Ann[e/o?] Andriess (Schiffer), Cornelis pietters (Schiffer), Tirck sliuter (Schiffer), Carsten drayer (Schiffer), parbrant doidwerts (Schiffer), Douwe Douwer (Schiffer), Broer Syeffes (Schiffer), Jan Jacobss (Schiffer), Sibrant Claes (Schiffer), Peter [V/R?]eyties (Schiffer), Wybrant Rieuwerts (Schiffer), Jan douwets (Schiffer), Gerd Corneliss (Schiffer), [Burdgn?] eylders (Schiffer), Jochum Roux (Schiffer), Hamen Houstman (Schiffer), Tacke Hommes (Schiffer), dirck Remmers (Schiffer), Barent Helman (Schiffer), Bruyen Ellertss (Schiffer), Jan Wilkens (Schiffer), Hebrant Raynties (Schiffer), Touthen Hommes (Schiffer), Sybont Andriess (Schiffer), ouhe Sermann (Schiffer), Jan Aherdorp (Schiffer), dirck Mel[?]p (Schiffer), Jan Drix (Schiffer), dirick Remlhes (Schiffer), Jan Viekens (Schiffer), Willem Vos (Schiffer), Gerd Loschar (Schiffer), Pieter Claess (Schiffer), Sibrant Jonaes (Schiffer), andries Jacobsens (Schiffer), Jan Claes (Schiffer), Sanlies Janses (Schiffer), schipper pieter Claesen, willem janses (Schiffer), weke Harmenss (Schiffer)",,SAA .,5039 Inv. 257,12v-13r
[G] 1654-03-14,Eintrag Resolutie der Stadt Amsterdam über Auftrag an Hendrick Klugkist weitere 456 Block Bremer Stein brechen zu lassen und zu übersenden,"Hinweis auf zwei verschiedene Maße. „Door ordre vande E. heeren Thresaurieren is den 14en Maert 1654 belast hendrich kluchkist opt spoedichste te doen breecken en overtesenden noch 456 blocken Bremersteen, geteyckent met de onderstaende No. te meeten met no. 1 – 256 blocken langh 5, hooch 1 ½ diep 2 ½ voet  34 – 200 ......5 ½, ......1/2  .... 2 ......“
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #580,,SAA ,5039 Inv. 1,154r
[G] 1654-07-01,Dankschreiben des Amsterdamer Rat an den Rat von Bremen bezüglich der abgabefreien Durchfuhr von Sandstein durch Hendrick Klugkist,"Schreiben des Amsterdamer Rates an Bremer Rat mit Bestätigung der Ankunft von 164 Block Stein, die von Hendrick Klugkist nach Amsterdam geliefert wurden. Dank an Stadt Bremen dafür, die Steine „hebben laaten passeeren sonder eenige tollen ofte dis commode daer over gehat te gebben....“ Die Amsterdamer bitten darum, weiter Zollfreiheit für den Steintransport zu erhalten.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",J. Witsen (Tres. Ord. von Amsterdam); ID #753; ID #580 ; ID #918,,StAB ,2-Ss.2.b.S.6 ,unfoliert
[G] 1655-02-13 - 1655-06-22,Gesamtabrechnung der Steinlieferungen von Hendrick Klugkist aus Bremen für das erste Halbjahr 1655,"Abrechnung der Steinlieferungen des Jahres 1655 durch Hendrick Klugkist aus Bremen. Die Zahlungen gehen hauptsächlich an diverse Schiffer (Frachtlohn).
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #580; ID #571; ID #543; schipper Andries Jacobes, schipper Jan Arendorp, Hendrich Heersten, Albert Alberts, schipper Aneche Dowes, schipper [Sierip Gatgus?], schipper Dirck Mure[ ? ], schipper Sybrant Jonaes van Harlingen, schipper Jan Dirckes Mout, schipper Frans Hendrickes, Schipper Claes [Threips?], schipper Weymert Claes, schipper Hessel Harmants, schipper Thoms Thoufs, Jan Piters, Charles Brielie, Schipper Dirk Remmets, schipper Jacob Remmets, schipper Hendrick Piters, schipper Tide Harmens, schipper Hendrik Piters van munter[zyel?], schipper Otto Aitiens, schipper Jan Piersen, schipper Piter Spieuw, schipper Willem Jans, schipper Lubbert Jans, schipper Jan Hustede, schipper Jan Wilhns, schipper Cout Livest, schipper Jan Asendorp, schipper Jan Dircks",,SAA ,5039 Inv. 258,12v-13r
[G] 1656-02-16 -  1657-01-01,Gesamtabrechnung der Steinlieferungen von Hendrick Klugkist aus Bremen 1656,"Abrechnung der Steinlieferungen des Jahres 1656 durch Hendrick Klugkist aus Bremen. Zahlungen an Hendrick Klugkist über B. Helmans (16560216[G] 1205gl-14-12; 16570101[G] 16256-5-4) und an diverse Schiffer (Frachtlohn)
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #571; ID #580; ID #543; schipper Segelke Remers, Schipper Clys Janss, Stoffel Geebloffes/ schipper Stoffel Gerloffs, Jan Harmanes Snach, Lambert Salui, schipper Meynert Claess, Sybe Revrs, Schipper Volchert Wibess, Wibe Ronches, schipper Gerrit Claess, schipper Dirck Timmerman, schepper [ ? ] Lubber, schipper Claes Gerderts, schipper Dirk Gesman, schipper Minne Minnerts, schipper Dirck Remmerts, Wouter Engels schipper, schipper Magnus Wulfes, schipper Arens Minneman, schipper Hendrick Loskes, schipper Willem Jans, schipper Jan Asendorp",,SAA,5039 Inv. 259,12r-v
[G] 1657-03-03 – 1658-01-15,Gesamtabrechnung der Steinlieferungen von Hendrick Klugkist aus Bremen 1657,"Abrechnung der Steinlieferungen des Jahres 1656 durch Hendrick Klugkist aus Bremen. Zahlungen an Hendrick Klugkist über B. Helmans (1657[G] 8696gl-1-2; 16571214[G] 5000-0-0) und an diverse Schiffer (Frachtlohn)
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","ID #571; ID #580; ID #543; schipper Jan Willekens, Jan Huystede (Schiffer), Harmen Rouwers (Schiffer), Aucke Donwes (Schiffer), Lolke Owes (Schiffer), Marten Salvue (Schiffer), Harmen Romaer (Schiffer), Meynded Claes (Schiffer), schipper Arend Minneman, Jan Asendorp (Schiffer), Dirck Minneman (Schiffer), [onne?] Heer (Schiffer), Minne Minnerer (Schiffer), Hendrick Lunheman (Schiffer), Gerit Acentsen (Schiffer), Jan Wilhensen (Schiffer),  Harmen Rouwer (Schiffer), schipper Willem Jansen, schipper Hendrik Loffet, schipper Marten Jamene,  [ ? ] Tuges (Schiffer), sch. Lambert Hesselman, Jen[?] Achsmons , schipper Claes Gibart, schipper Marten Martensen, schipper Hendrick Peetren, Jan Jacobs (Schiffer), Harman Relofs (Schiffer), schipper Onne He[sarts?], schipper Elke Segebach, schipper Hendrich Heener, Conrnelis Jacobren Sluyn, Siee Jans (Schiffer), schipper Jan Russing",,SAA ,5039 Inv. 260,12r-v
[G] 1657-06-19,"Liste der Stadt Amsterdam an Stadt Bremen bezüglich der Ankunft von Schiffern in Amsterdam, welche  Stein für den Rathausbau in Amsterdam aus Bremen geliefert haben","Die Liste umfasst Lieferungen zwischen Februar und Mai 1657 sowie Schiffernahmen und Kubikfuß?-Angaben. Insgesamt wurden 397 Blöcke, zusammen 9750 ½ Fuß bzw. 113 „platte Breedestücken, houderede“ insgesamt 3964 2/3 Fuß, „11 dito, gescheurt“ zusammen 378 ¾ Fuß, „253 gemeene stücken, houderde“ zusammen 5031 Fuß und „20 dito gescheurde stucken“ zu 376 Fuß geliefert.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668","Gerrit Arents (Schiffer), Jan Wilkes (Schiffer), Jan Huysteede (Schiffer), Herman [R?]oumens (Schiffer), Auche Doumes (Schiffer), Lolke Obbes (Schiffer), Marten Salvuh[?] (Schiffer), Meyndert Olachs (Schiffer), Arent Minneman (Schiffer), Herman [R?]oumers (Schiffer), Jan Ascendorp (Schiffer), Dirck Minneman (Schiffer), Ohnen Enertsz (Schiffer), Minne Minnerts (Schiffer), Henrich Lonsman (Schiffer), Willem Jansz (Schiffer), Jan Wilkes (Schiffer)",,StAB, 2-W.9.d.1 Bd. 6 ,unfoliert
[G] 1657-12-14,Schreiben der Stadt Amsterdam (Tresaurier Ordonaris C. de Vries) an Rat von Bremen bezüglich Befreiung von Tonnengeld für Steinlieferung für Rathaus,"Anfrage der Amsterdamer Regierung beim Rat von Bremen um die Befreiung von Tonnen- und Bakengeld für die Vorbeifuhr von „Hart steen“ für das Amsterdamer Rathaus an Bremen. Dabei wird Bezug genommen auf die zugestandene Befreiung von Abgaben aus dem Jahr 1649. Nun steht die Fortsetzung des Rathausbaus an und die Amsterdamer bitten um eine erneute Zustimmung zur Abgabenbefreiung für die Fahrt durch die Stadt Bremen, Vegesack und andere bremische Gebiete. „Sondern intoecomende op de hart steen, die wy saer soo nodigh sullen hebben, beswaringe van tonnen en baechengelt te dragen gelyck ons te gemoet gevoort wort, by de ouderluyden van [?] Stad te sullen geschieden, namentlyck van vier groot per 24 voet, Wy sollen dese courtoilie stellen by de voorgaende, [ ? ] gelegentheyt soecken om ons daer van revengeren.” Rat von Bremen soll sich bei Elterleuten der Stadt um Tonnen- und Barkengeldfreiheit für Amsterdam einsetzen.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",C. de Vries (Ter. Ordonnantie Amsterdam); ID #753,,StAB ,2-W.9.d.1 Bd. 6 ,unfoliert
[G] 1658-01-15,Bezahlung von Hendrick Klugkist und Schiffer für Lieferung von Bremer Stein im vorangegangenen Jahr,"Bezahlung von 10346gl-15st-8pen für Bremer Stein, genaue Datierung schwierig.
Verknüpfungswunsch:
ID #744; ID #1183; ID #668",ID #580,,SAA,5039 Inv. 150,fol. 199r
[G] 1658-03-02,"Auflösung des Vermögens von Cornelia Bouwers, Witwe des Steinhändlers Hendrick Spiering und Verteilung desselben an Tochter Catharina Spiering und Sohn Jaques Spiering u.a.","Verteilung des Erbes von Cornelia Bouwers, Witwe des Steinhändlers Hendrick Spiering an die gemeinsamen Kinder Catharina Spiering und Jaques Spiering. Zusätzlich werden ausstehende Zahlungen aus der Erbmasse beglichen., u.a. an den Grafen zu Bentheim, an einen „Jan Cotgen tot Zwolle“, den Bürgermeister „Gerhard Cloppenborgh tot Lingen.“ Darüber hinaus werden Verpflichtungen im Zusammenhang mit der Bentheimer Steinhandelskompanie genannt. „Word bevonden dat de voors Weet op slot van rekening op ultimo deenb. lestleden <voor?> van wegen de Comp. van de Benthemmer steenhandel (daerin zyn den zestepart hadde) inhanden moeten hebben de somme van zeven ende twintigh duysend, zeshonderd dertich gull drie stvers ze[?]en pen. Wartegens in de Cassa vorweges de Comp. onderhaen bevonden wert te zyn desomme van achthienduysent achthondert twee en veertigh gul. Zynde voorts byde voors wees uyt de gemelte Casse genommen de somme van vierduysend vyffhonderd guldens, die sy geemplyeert heeft tot aflossinge van [arrenwrief?] gestan hebben op de voors <?> huyse op de Cingel.”
Verknüpfungswunsch:
ID #744; Grafschaft Bentheim","Cornelia Bouwers (Witwe Hendrick Spiering), Catharina Spiering (Tochter von Cornelia Bouwers und Hendrick Spiering), Jaques Spiering (Sohn von Cornelia Bouwers und Hendrick Spiering), Magareta Hechels (Ehefrau von Jaques Spiering), Jan Cotgen aus Zwolle, Gerhard Cloppenburg (Bürgermeister in Lingen); ID #951; ID #758",,SAA ,5039 Inv. 1602,51v-52v
[G] 1658-03-05,Übertragung des Anteils der Bentheimer Steinhandelskompanie von Hendrick Spiering an seine Nachfolger Nicolas Berkelius u.a.,"Bei der Übertragung des Anteils der Steinhandelskompanie auf Nicolas Berkelius und Fredrick Jans de Mies wird deutlich, dass Michael van den Broek „als participant voor vyff zeste parten vande voorgaen Comp. vande Bentemmersteenhandel“ beteiligt war. Hinweis auf gemeinsamen Abschluss des Vertrags zwischen van den Broeck, Spiering und dem Grafen zu Bentheim.
Verknüpfungswunsch:
ID #744; ID #1183; Grafschaft Bentheim","ID #472; ID #639;  ID #915; ID 948; ID #758; Cornelia Brouwers (Frau von Hendrick Spiering), Fredrik Janss de Mies",,SAA,5039 Inv. 1602,53r-v
