Jahr,Titel,Kommentar,Personen,Literatur,Literatur ID
1569-04-25,Bergwarregister bis 1596-10-19,"Im Bergwarregister für das Jahr 1569 werden die Namen der Steinhauer und ihre Abfuhren in Wagenladungen verzeichnet. Dabei wird unterschieden in Boomwagen, Flachtwagen und Karren.
Verknüpfungswunsch: ID #29; ID #11756","ID #1313; ID #1318; ID #1307; ID #1310; ID #1309; ID #1315; ID #1314; ID #1306; Hinrich Saase, Heinrich Kedecker, Harmen Danchmars selig Witfrauwe, Jan Ridder, Johann [?]ickemeier, Wilhelm Schrader, Reinecke Beissnigk, Toniess Molleman","S. 154-155, 185ff, NLA BÜ L 1 Nr. 6572",ID #164
1570,Bergwar-Register,"Angaben zu Steinmengen und Steinkuhlenpächtern, Auswertung: Heil (2001), S. 154f.
Verknüpfungswunsch: ID #29; ID #11756","ID #1313; ID #1318; ID #1307;  ID #1310; ID #1309; ID #1308; ID #1315; ID #1314; ID #1306; ID #1317;  ID #1316; ID #1304; ID #5690; Henrich Sasse, Henrich Redeker, Witwe Harmen Danchmann, Wilhelm Schrader, Reineke Bussingh, Johann Poth, Johan Edeler, Hinrich Engelman, Jobst Herd","S. 154-155, NLA BÜ L 1 Nr. 6873",ID #164
1571,Bergwar-Register,"Angaben zu Steinmengen und Steinkuhlenpächtern, Auswertung: Heil (2001), S. 154f.
Verknüpfungswunsch: ID #29; ID #11756","ID #1313; ID #1318; ID #1307; ID #1310; ID #1309; ID #1308; ID #1315, ID #1314; Henrich Sasse, Henrich Redeker, Wilhelm Schrader, Reineke Bussingh, Henrich Bussingh","S. 154-155, NLA BÜ L 1 Nr. 6874",ID #164
1571-06-XX,"Abholung von Steinen ""für ein Bauvorhaben auf dem Petershagener Kirchhof""","Neunzig Fuhrwerke
Verknüpfungswunsch: ID #29; ID #11756; Petershagen",,S. 157,ID #164
1574-06-04,"Eintragung ins Weserzollregister bei Rinteln, zwei Schiffe mit Bückeburger Stein für Graf Johann von Oldenburg",Verknüpfungswunsch: ID #29; ID #11756; ID #23,Graf Johann von Oldenburg,S. 159,ID #164
1574-06-08,"Eintragung ins Weserzollregister bei Rinteln, drei Schiffe mit Bückeburger Stein für Graf Johann von Oldenburg",Verknüpfungswunsch: ID #29; ID #11756; ID #23,Graf Johann von Oldenburg,S. 159,ID #164
1575-07-02,Eintrag ins Weserzollregister bei Varenholz für Schiff mit Stein für Bremer Rat,"So passierte am 2. Juli 1575 der Bremer Schiffer Hermann Dinckla den Weserzoll Varenholz mit einem Schiff, das ‚Bückeburger Stein' für den Rat der Stadt Bremen geladen hatte.
Verknüpfungswunsch: ID #29; ID #11756; ID #668",ID #753; Hermann Dinckla (Schiffer),S. 159,ID #164
1575-07-04,Schreiben der Äbtissin Magarete II. zur Lippe an Graf Otto IV. zu Holstein-Schaumburg betr. Steine zur Erneuerung einiger Abteigebäude,"Äbtissin verlangt, trotz Steinkuhlen bei Bielefeld und Salzuffeln, Sandstein aus den Bückeburger Gruben, da dieser qualitativ hochwertiger sei, Bitte um baldiges Abkommen zur Steinlieferung
Verknüpfungswunsch: ID #29; ID #11756",ID #11754; Äbtissin Magarete II. zu Lippe (Stift Herford),S. 153; S. 34.,ID #164; ID #12023
1578 - 1589,Verhandlungen zwischen Erben von Graf Otto IV. zu Holstein-Schaumburg und Graf Johan VII. von Oldenburg über dessen Steinkuhle auf dem Bückeberg,"Steinkuhle habe Otto IV. Graf Johan VII. zu Oldenburg einst überschrieben, hier wird auch Größe der Grube erklärt ""...berichtet eine Quelle, daß sie 1578 eine Fläche von dreißig mal zehn Schuh (ca. zehn mal drei Meter) aufwies, also nicht gerade viel Fläche einnahm.""
Verknüpfungswunsch: ID #29; ID #23; ID #11756","ID #11754; Erben Otto IV. zu Holstein-Schaumburg, Graf Johan VII. zu Oldenburg",S. 154,ID #164
[J] 1597-02-XX,Die Artikel der Obernkirchener Steinhauerzunft aus dem Jahre 1597,"Beinhaltete verschiedene Artikel: Schutz der Arbeit und des Eigentums des Einzelnen vor den Zugriffen der Zunft;  Regelung der Arbeit, Regelung der Ausbildung. Besonders wichtig: Paragraph 6: ""Fürs sechste, sollen diejenigen so hie selbst keine Bürger sein, auch das Handwerck nicht gebürendt gelehrnet, auch keine gerechtigkeit auff dem Berge haben keinen rugen Stein abführen lassen, sondern Denselben by dem Wasser kauffen, wie denn einen jeden solchen Stein auf dem Berge frembden zu verkauffen, bey unvermeidlicher straff, soll verboten sein und bleiben, Hawenwerck aber mügen sie woll abführen lassen.""
Verknüpfungswunsch: ID #29; ID #11756; ID #745","ID #5703; ID #1313?; ID #922; ID #5690; Unterzeichner: Hans Eichmann, manu propria, Hermann Rpbbcke, Reinecke Kleine, Johann Witte, Arndt Haselmeyer, Tönnies Meverdt, Johan Rüter, Herdlich Witte, Eckbrecht Bokeloh, hermann Voshagen, Hermann Lütkemeyer, Johan Bokeloh, Hans Watermahn, Jobst engelking, Reineke Brüggemahn, Hans Tribbe, Hermann Rödermeister, Henrich Scharpe, hans Borcherdingh, Hand[sic!] Tribbe, Henrich Stockfisch, Hans Abell, Tilke engelkings, Henrich Erotekov",S. 6-11; S. 70-74,ID #184; ID #231
1597 - 1598,Verkauf von Stein durch Adolf XI.zu Holstein-Schaumburg an Bischof Anton von Schaumburg,"Steinlieferung an Bischof Anton zu Minden für das Hause Remenberg.
Verknüpfungswunsch: ID #29, ID #11756; ID #1297","Graf Adolf XI. von Holstein-Schaumburg, Anton zu Schaumburg, Bischof zu Minden",S. 153,ID #164
[J] 1615,Erwähnung der Steinhauer in der Landes- und Polizeiordnung von Graf Ernst zu Holstein-Schaumburg,"""Das Sechsichste Capittel_x000D_
Von Zimmer unnd Maurleuten Steinhawern Schnitkern Büdekern Dönnichern Lemedeckern Kleibern und anderen Handtwerkern_x000D_
Unser Ambten aufm Lande und der Rath in Stedten sollen mit besonderm fleiß erforschen ob auch dieselben Personen die diese und dergleichen handwerck gebrauchen unnd sich für Meister ausgeben dazu qualificirt sein [...] _x000D_Es seindt noch den Menschen gedencken etzliche fürnehme Steinhawer und Bawmeister in unser Graffschafft welche mit Bückenberger Stein vom Almechtigen fur andern Landen begabt befunden die von Königen unnd fürsten zu erbawung ihrer Schlosser gefördert und woll besolt worden/ Is aber begeben sich die Steinhawer auff nicht höher arbeide dan weth und Schleiffstein Kümpe Rinnen und dergleichen zufertigen/ Und mussen wir unander die Meister auß frembden Landen lassen holen/ Demnach Bürgermeister und Rethe in unsern Stedten die STeinhawer und Zimerleut für und fur sollen ermahnen/ das sie ihr Kinder in irer blühende Jugendt bey gute Meister thun/ dabey sie so viel lernen/ das sie uns unnd andern gnugliche Gebeude mügen fertigen unnd ihr Brodt mit Ehren erwerben.
Verknüpfungswunsch: ID #29",ID #12024; ID #5703,S. 192f.,ID #12032
1626,Bergwar-Register mit Angaben zu Produkten,"Produktpalette verkleinert:
- ""Leichensteine
- Kumpe
- und sog. <<Gemeine Fuhren>>, worunter roh behauene Blocksteine verstanden werden können...""
Verknüpfungswunsch: ID #29; ID #11756",,S. 153.,ID #164
1680,Zunftbrief  für Steinhauer zu Obernkirchen,"Erneuerung des Zunfbriefes von 1597 durch Landgraf Karl von Hessen-Kassel
Verknüpfungswunsch: ID #745, ID #30",ID #5703; Landgraf Karl von Hessen-Kassel,S. 22ff.,ID #184
1729,neue Regelungen zur Krankenversorgung der Zunftmitglieder in Zunftordnung der Steinhauer zu Obernkirchen aufgenommen,"enthält angeblich 30 Unterschriften
Verknüpfungswunsch: ID #30; ID #745; ID #11756
",ID #5703 ,S. 51-54,ID #184
